# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.473996986535e-10       7.254537825714e-15       4.981669325986e-13       2.400820932875e-19       8.846167619707e-09       4.706702524885e-10      -2.486062662969e-12 
    3       1.395982485894e-10       1.231833805014e-14       6.165236292427e-13       4.803971595068e-19       5.458244530144e-09       3.399222304328e-10      -2.194196169815e-12 
    4       1.315115625492e-10       1.442979449062e-14       6.336739219542e-13       8.011714651222e-19       3.794771563238e-09       2.599532942023e-10      -1.755205363825e-12 
    5       1.250294425807e-10       1.339567560225e-14       5.918181007231e-13       1.202693175440e-18       2.830819164084e-09       2.066820413477e-10      -1.306522548129e-12 
    6       1.202301237509e-10       1.038196045713e-14       5.201569134933e-13       1.685303910027e-18       2.210891171130e-09       1.689771793565e-10      -8.959802836470e-13 
    7       1.168696064019e-10       6.913516115383e-15       4.386161051822e-13       2.249387445781e-18       1.783879150728e-09       1.410281842014e-10      -5.479785415350e-13 
    8       1.145867144235e-10       4.101401912179e-15       3.593592931143e-13       2.895357196923e-18       1.474601758470e-09       1.195916249049e-10      -2.734916113467e-13 
    9       1.132067041458e-10       2.371108971990e-15       2.895153329492e-13       3.623642966049e-18       1.242149136363e-09       1.027752851032e-10      -7.444906222368e-14 
   10       1.125360139825e-10       1.585876290649e-15       2.329504392505e-13       4.434677487643e-18       1.062175702842e-09       8.933690256020e-11       5.411112345714e-14 
   11       1.123675129473e-10       1.351033532156e-15       1.913348865028e-13       5.328883291541e-18       8.941945282744e-10       7.856336712799e-11       1.212640240100e-13 
