# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.081959114977e-10       1.503949961164e-15       2.339704680665e-13       0.000000000000e+00       9.078720506067e-10       5.309211308842e-10      -2.853018727325e-13 
    3       5.336014792502e-10       5.627475760341e-15       1.066610591621e-13       0.000000000000e+00       5.871702378659e-10       4.366122130147e-10      -5.842031802918e-13 
    4       4.881255423604e-10       1.403745022040e-14       2.675517697634e-14       0.000000000000e+00       3.822851378576e-10       3.170144447585e-10      -6.339032593935e-13 
    5       4.599252770051e-10       2.716813514600e-14      -2.002905816431e-13       0.000000000000e+00       2.612585735730e-10       2.341635611703e-10      -6.226093331061e-13 
    6       4.519666259156e-10       4.512108885042e-14      -6.306665741125e-13       0.000000000000e+00       1.860291807834e-10       1.781633069063e-10      -5.966053354446e-13 
    7       4.582894167844e-10       6.707751424296e-14      -1.253490393773e-12       0.000000000000e+00       1.366680068087e-10       1.390556927101e-10      -5.622515632596e-13 
    8       4.754262619473e-10       9.144157197849e-14      -2.028298383148e-12       0.000000000000e+00       1.029298173775e-10       1.108918039323e-10      -5.224916046853e-13 
    9       5.007336798521e-10       1.160772100172e-13      -2.898254794331e-12       0.000000000000e+00       7.912676179714e-11       9.005093101725e-11      -4.793482519040e-13 
   10       5.321726227328e-10       1.385772527733e-13      -3.790833683293e-12       0.000000000000e+00       6.189732316801e-11       7.424968837183e-11      -4.341977584603e-13 
   11       5.678275783963e-10       1.566014552135e-13      -4.622203344546e-12       0.000000000000e+00       4.966839751833e-11       6.588056337256e-11      -3.300781132214e-13 
   12       6.062912666854e-10       1.682413453542e-13      -5.305246971552e-12       0.000000000000e+00       4.003221417381e-11       5.610207061555e-11      -3.386715630244e-13 
   13       6.459957188046e-10       1.723582774150e-13      -5.757890916044e-12       0.000000000000e+00       3.250045122790e-11       4.720160332670e-11      -2.612316157429e-13 
   14       6.853713059623e-10       1.688649077792e-13      -5.907718414968e-12       0.000000000000e+00       2.680692548608e-11       4.109349274033e-11      -2.391482482572e-13 
   15       7.230666854968e-10       1.589139261138e-13      -5.698233725804e-12       0.000000000000e+00       2.223008591104e-11       3.499275555862e-11      -1.878393923047e-13 
   16       7.573349689092e-10       1.449787911974e-13      -5.092109878622e-12       0.000000000000e+00       1.867443259441e-11       3.050306915945e-11      -1.405302760864e-13 
   17       7.872812590378e-10       1.308060921226e-13      -4.075674487076e-12       0.000000000000e+00       1.577394818200e-11       2.654202985849e-11      -1.101368869210e-13 
   18       8.112976301315e-10       1.212948144835e-13      -2.659323476961e-12       0.000000000000e+00       1.342018313964e-11       2.313376801137e-11      -7.397931402939e-14 
   19       8.284122424451e-10       1.219683881289e-13      -8.767632658609e-13       0.000000000000e+00       1.154122495552e-11       2.029343228200e-11      -3.284766634464e-14 
   20       8.379391060590e-10       1.391111536283e-13       1.211626639181e-12       0.000000000000e+00       9.974139838568e-12       1.772334837836e-11       4.210159978730e-15 
   21       8.394677013168e-10       1.786039984315e-13       3.529146507051e-12       0.000000000000e+00       8.664574127755e-12       1.537817485145e-11       3.623168248053e-14 
   22       8.327810071560e-10       2.461776295558e-13       5.978033648657e-12       0.000000000000e+00       7.567019380084e-12       1.326363391524e-11       6.493565011617e-14 
   23       8.180432039879e-10       3.461470355781e-13       8.454093411010e-12       0.000000000000e+00       6.648074149508e-12       1.136422442802e-11       8.900742951282e-14 
   24       7.956993090742e-10       4.817316182875e-13       1.084136387125e-11       0.000000000000e+00       5.864416100085e-12       9.659946615931e-12       1.070306949387e-13 
   25       7.664889238996e-10       6.539432946136e-13       1.303089039253e-11       0.000000000000e+00       5.196437466333e-12       8.255331931689e-12       1.221534581492e-13 
   26       7.314077666760e-10       8.619143241981e-13       1.491346822035e-11       0.000000000000e+00       4.623548516416e-12       7.240085726478e-12       1.383314416694e-13 
   27       6.916242867907e-10       1.102218529923e-12       1.639666542214e-11       0.000000000000e+00       4.130799242385e-12       6.425837522188e-12       1.526828368795e-13 
   28       6.484795330729e-10       1.369228187195e-12       1.739972536590e-11       0.000000000000e+00       3.700953464753e-12       5.551250404880e-12       1.607602160931e-13 
   29       6.033034968580e-10       1.655479166410e-12       1.787399140972e-11       0.000000000000e+00       3.327610175837e-12       4.636789370697e-12       1.634868580277e-13 
   30       5.575445276052e-10       1.951256705046e-12       1.779008169471e-11       0.000000000000e+00       3.003001147927e-12       3.805835629756e-12       1.640910857899e-13 
   31       5.127180971912e-10       2.245059439868e-12       1.713728397144e-11       0.000000000000e+00       2.715831935055e-12       3.174258793100e-12       1.658340057647e-13 
   32       4.700341104707e-10       2.526039932026e-12       1.593824564265e-11       0.000000000000e+00       2.462273387021e-12       2.721020878661e-12       1.683987979494e-13 
   33       4.306186539558e-10       2.782281685710e-12       1.424330733148e-11       0.000000000000e+00       2.238438048499e-12       2.366912569421e-12       1.701357852972e-13 
   34       3.955195086608e-10       3.001237263451e-12       1.212612533438e-11       0.000000000000e+00       2.038687920456e-12       2.028763977848e-12       1.693590751758e-13 
   35       3.654234955383e-10       3.173782135456e-12       9.674051998350e-12       0.000000000000e+00       1.860684951768e-12       1.699217483465e-12       1.657239729787e-13 
   36       3.408145406622e-10       3.291559868442e-12       6.997684077405e-12       0.000000000000e+00       1.701777064612e-12       1.394084741569e-12       1.593263965480e-13 
   37       3.219994990721e-10       3.347316003457e-12       4.223334047520e-12       0.000000000000e+00       1.558467612226e-12       1.128150557946e-12       1.504168822068e-13 
   38       3.089998042836e-10       3.339647676894e-12       1.452117235109e-12       0.000000000000e+00       1.429698985542e-12       9.038386634084e-13       1.396404225299e-13 
   39       3.015922687697e-10       3.269982551469e-12      -1.210628986762e-12       0.000000000000e+00       1.314477797061e-12       7.186840442187e-13       1.278940007366e-13 
   40       2.993130012846e-10       3.141479340993e-12      -3.643318236927e-12       0.000000000000e+00       1.210899321424e-12       5.681546480433e-13       1.162786638945e-13 
   41       3.015039420741e-10       2.959727339562e-12      -5.725232584562e-12       0.000000000000e+00       1.116675414227e-12       4.465990141466e-13       1.058000479085e-13 
   42       3.075179393473e-10       2.734793317165e-12      -7.396577626131e-12       0.000000000000e+00       1.031106033130e-12       3.508604869250e-13       9.632237396546e-14 
   43       3.165473480291e-10       2.480068911074e-12      -8.616576366210e-12       0.000000000000e+00       9.536227295882e-13       2.775592657952e-13       8.729517821161e-14 
