# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.350788082876e-10       6.952697279042e-15       5.008216580217e-13       0.000000000000e+00       9.265230453112e-09       3.835951600702e-10      -2.474870393592e-12 
    3       1.298128596667e-10       1.198896926076e-14       6.187638161633e-13       0.000000000000e+00       5.718728554103e-09       2.796184026485e-10      -2.189017848142e-12 
    4       1.237555450260e-10       1.434685336264e-14       6.375998250310e-13       0.000000000000e+00       3.981806913617e-09       2.152826187558e-10      -1.767314748786e-12 
    5       1.187677793062e-10       1.365396169813e-14       5.980713205006e-13       0.000000000000e+00       2.971542451552e-09       1.720732358967e-10      -1.335731242342e-12 
    6       1.150542634562e-10       1.088279246997e-14       5.284902337189e-13       0.000000000000e+00       2.319858988485e-09       1.412985054003e-10      -9.374098793597e-13 
    7       1.124801419546e-10       7.466102150250e-15       4.484086942730e-13       0.000000000000e+00       1.870055777946e-09       1.183873084176e-10      -5.953044163834e-13 
    8       1.108229153802e-10       4.539217806079e-15       3.697387957606e-13       0.000000000000e+00       1.543870419993e-09       1.007429620772e-10      -3.203601164295e-13 
    9       1.098796074651e-10       2.623039870610e-15       2.995596116610e-13       0.000000000000e+00       1.298531135228e-09       8.681268004674e-11      -1.154557514658e-13 
   10       1.095610025298e-10       1.678627339573e-15       2.417036217002e-13       0.000000000000e+00       1.109150834945e-09       7.561867349745e-11       2.273421715320e-14 
   11       1.096820486542e-10       1.362674305263e-15       1.979210579630e-13       0.000000000000e+00       9.311638419240e-10       6.668809587275e-11       1.012708976145e-13 
   12       1.101359989532e-10       1.298275014362e-15       1.684312228557e-13       0.000000000000e+00       8.132015154144e-10       5.916513963765e-11       1.334714279470e-13 
   13       1.109168784337e-10       1.242043685275e-15       1.520048098179e-13       0.000000000000e+00       7.164329166116e-10       5.270251159704e-11       1.299628610478e-13 
   14       1.118895545731e-10       1.119363117273e-15       1.463350609010e-13       0.000000000000e+00       6.359682376500e-10       4.739322686878e-11       1.037878399596e-13 
   15       1.130415661043e-10       9.681897471354e-16       1.486152779796e-13       0.000000000000e+00       5.682861461002e-10       4.292181472604e-11       6.579357293783e-14 
   16       1.143359682922e-10       8.561198557402e-16       1.560576182450e-13       0.000000000000e+00       5.107725307737e-10       3.894375801825e-11       2.479868746195e-14 
   17       1.157448185805e-10       8.214602994394e-16       1.661891322129e-13       0.000000000000e+00       4.614568876798e-10       3.554553623920e-11      -1.210553480152e-14 
   18       1.172714821764e-10       8.560222609064e-16       1.768769546672e-13       0.000000000000e+00       4.186708924476e-10       3.262015518573e-11      -4.046288024185e-14 
   19       1.189033578952e-10       9.286050699389e-16       1.869961430645e-13       0.000000000000e+00       3.817346764120e-10       3.006243809788e-11      -5.851145588866e-14 
   20       1.205684471961e-10       9.989026821100e-16       1.956444651707e-13       0.000000000000e+00       3.492154467397e-10       2.773388059026e-11      -6.599572505691e-14 
   21       1.222921683403e-10       1.057692122605e-15       2.026335073724e-13       0.000000000000e+00       3.205987834246e-10       2.563872857360e-11      -6.423733429871e-14 
   22       1.240971723562e-10       1.109410429216e-15       2.081172270252e-13       0.000000000000e+00       2.951975926430e-10       2.379211290899e-11      -5.583999306312e-14 
   23       1.259659147245e-10       1.173356846175e-15       2.125221430908e-13       0.000000000000e+00       2.726603178995e-10       2.215981767643e-11      -4.337926427027e-14 
   24       1.278509475629e-10       1.273805336144e-15       2.164409938721e-13       0.000000000000e+00       2.524632386674e-10       2.067299598333e-11      -2.980759613875e-14 
   25       1.297673444855e-10       1.418233484344e-15       2.203533885888e-13       0.000000000000e+00       2.343670927055e-10       1.931771019304e-11      -1.720524990519e-14 
   26       1.317321591608e-10       1.606720134110e-15       2.247034225910e-13       0.000000000000e+00       2.180428670012e-10       1.808422919814e-11      -7.406823370621e-15 
   27       1.337364023757e-10       1.832301733590e-15       2.296905767259e-13       0.000000000000e+00       2.032943726523e-10       1.696251593819e-11      -1.270155739373e-15 
   28       1.357551260354e-10       2.085565054587e-15       2.353724640645e-13       0.000000000000e+00       1.898671212420e-10       1.593533697165e-11       8.557347193998e-16 
   29       1.377960010529e-10       2.365000738524e-15       2.415528000329e-13       0.000000000000e+00       1.776918824346e-10       1.499962369005e-11      -5.286354884210e-16 
   30       1.398662446421e-10       2.671254896724e-15       2.478694447020e-13       0.000000000000e+00       1.666368624302e-10       1.414794528053e-11      -4.385258875391e-15 
   31       1.419633506982e-10       3.004448016409e-15       2.538718342864e-13       0.000000000000e+00       1.564753731596e-10       1.336571507814e-11      -9.435337069628e-15 
   32       1.440930485563e-10       3.363170033008e-15       2.591780610230e-13       0.000000000000e+00       1.471547886321e-10       1.264996401779e-11      -1.478791385239e-14 
   33       1.462555054561e-10       3.745024589419e-15       2.633635498195e-13       0.000000000000e+00       1.386093501680e-10       1.199613474414e-11      -1.951310575524e-14 
   34       1.484435319330e-10       4.147641251347e-15       2.659957315263e-13       0.000000000000e+00       1.307195337938e-10       1.139469934833e-11      -2.267656171207e-14 
   35       1.506572962631e-10       4.571485121407e-15       2.669183106494e-13       0.000000000000e+00       1.234446927524e-10       1.083880968139e-11      -2.407655546237e-14 
   36       1.528929677276e-10       5.018036916725e-15       2.660656350980e-13       0.000000000000e+00       1.167260098276e-10       1.031837335671e-11      -2.376552798525e-14 
   37       1.551426665152e-10       5.489209138924e-15       2.634096957042e-13       0.000000000000e+00       1.104755606199e-10       9.821671357878e-12      -2.189907976204e-14 
   38       1.574108248899e-10       5.987799428646e-15       2.590298317374e-13       0.000000000000e+00       1.046771196389e-10       9.349545222614e-12      -1.886433566403e-14 
   39       1.597020861916e-10       6.517239867384e-15       2.530705761950e-13       0.000000000000e+00       9.931232497407e-11       8.905437296328e-12      -1.520712326971e-14 
   40       1.620162421708e-10       7.081520382680e-15       2.457271627172e-13       0.000000000000e+00       9.433002958979e-11       8.491402217556e-12      -1.160890208757e-14 
   41       1.643503090080e-10       7.684303921205e-15       2.372007487606e-13       0.000000000000e+00       8.966411509926e-11       8.107976832374e-12      -8.743804988396e-15 
   42       1.667068515221e-10       8.325842225249e-15       2.275387487948e-13       0.000000000000e+00       8.530078274752e-11       7.754097387764e-12      -6.772672063217e-15 
   43       1.690874702050e-10       9.005114374571e-15       2.167479893247e-13       0.000000000000e+00       8.122835405420e-11       7.426904454700e-12      -5.699095178671e-15 
   44       1.714900772463e-10       9.720631583378e-15       2.048381930232e-13       0.000000000000e+00       7.741707512825e-11       7.121576521853e-12      -5.505329659324e-15 
   45       1.739110072037e-10       1.047088147911e-14       1.917990450469e-13       0.000000000000e+00       7.382972991365e-11       6.832746110536e-12      -6.125346233593e-15 
   46       1.763529377162e-10       1.125588672938e-14       1.775233795271e-13       0.000000000000e+00       7.046065351157e-11       6.559601396818e-12      -7.358342330169e-15 
   47       1.788187331370e-10       1.207606372857e-14       1.618609108209e-13       0.000000000000e+00       6.730593530933e-11       6.302058263966e-12      -8.926513676550e-15 
   48       1.813089772337e-10       1.293178883603e-14       1.446377539471e-13       0.000000000000e+00       6.435165464344e-11       6.059272455415e-12      -1.049502075999e-14 
   49       1.838217603192e-10       1.382339700701e-14       1.256550384115e-13       0.000000000000e+00       6.157313634470e-11       5.829581789181e-12      -1.166885214882e-14 
   50       1.863541937210e-10       1.475118154128e-14       1.047334518039e-13       0.000000000000e+00       5.894238251859e-11       5.611051591225e-12      -1.209498903387e-14 
   51       1.889079316792e-10       1.571539642480e-14       8.186434046327e-14       0.000000000000e+00       5.645447319203e-11       5.403419596782e-12      -1.180886860032e-14 
   52       1.914847803472e-10       1.671625225709e-14       5.709722729275e-14       0.000000000000e+00       5.410704498772e-11       5.206579084582e-12      -1.097654228036e-14 
   53       1.940849729911e-10       1.775391390392e-14       3.049822352748e-14       0.000000000000e+00       5.189239005840e-11       5.019993097259e-12      -9.799369535941e-15 
   54       1.967070384073e-10       1.882849918078e-14       2.150803961203e-15       0.000000000000e+00       4.979709639588e-11       4.842665042540e-12      -8.515836531674e-15 
   55       1.993490321938e-10       1.994007473062e-14      -2.786041547560e-14       0.000000000000e+00       4.780613766565e-11       4.673474802515e-12      -7.355365952047e-15 
   56       2.020128902011e-10       2.108864547371e-14      -5.950484020569e-14       0.000000000000e+00       4.591715649987e-11       4.512352188699e-12      -6.382142894903e-15 
   57       2.047009260940e-10       2.227416023100e-14      -9.276308019122e-14       0.000000000000e+00       4.412909945409e-11       4.359343504072e-12      -5.615677525483e-15 
   58       2.074144864726e-10       2.349651290548e-14      -1.276110423847e-13       0.000000000000e+00       4.243789608278e-11       4.214256747125e-12      -5.075364100628e-15 
