# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.121358547306e-10       5.708778412990e-15       5.747062306650e-13       2.725245839805e-19       1.200537407692e-08      -1.297521828265e-10      -2.352311550114e-12 
    3       1.092269372914e-10       1.046662427102e-14       6.684036502519e-13       5.453498159374e-19       7.273116225525e-09      -5.848510654376e-11      -2.097150201621e-12 
    4       1.067163440563e-10       1.363443564144e-14       6.792380213623e-13       9.095736239942e-19       5.022811496165e-09      -2.963856347585e-11      -1.754584842738e-12 
    5       1.047222731903e-10       1.432100546058e-14       6.406286273243e-13       1.365567111043e-18       3.730095325120e-09      -1.575948259973e-11      -1.400892742255e-12 
    6       1.032637913644e-10       1.277200844562e-14       5.748200347807e-13       1.913769527832e-18       2.900213406082e-09      -8.240711037950e-12      -1.063319134155e-12 
    7       1.023363101891e-10       9.923416394435e-15       4.981324866374e-13       2.554673299032e-18       2.330958971990e-09      -3.972737268361e-12      -7.594030737698e-13 
    8       1.018796938579e-10       6.823613294544e-15       4.207399141944e-13       3.288807423241e-18       1.921327256904e-09      -1.527772360595e-12      -4.988525752292e-13 
    9       1.018436010880e-10       4.244677155100e-15       3.487849820637e-13       4.116719900583e-18       1.615126189327e-09      -7.797188319132e-14      -2.864167981100e-13 
   10       1.021697286466e-10       2.530498756501e-15       2.859099780008e-13       5.038959878447e-18       1.378924022840e-09       8.481367425525e-13      -1.231241083889e-13 
   11       1.027776886055e-10       1.645464967230e-15       2.342486234833e-13       6.056060215110e-18       1.131543915980e-09       2.354137314975e-12      -7.979190549609e-15 
   12       1.036112835673e-10       1.333139870600e-15       1.947274433064e-13       7.168521142054e-18       9.858562514340e-10       2.522409370711e-12       6.571648129071e-14 
   13       1.046634553896e-10       1.290058604708e-15       1.671495794240e-13       8.376795659545e-18       8.666790713863e-10       2.590127805085e-12       1.036942741316e-13 
   14       1.058632860752e-10       1.288485304460e-15       1.505304139401e-13       9.681277228320e-18       7.678597306694e-10       2.677058607128e-12       1.134130835913e-13 
   15       1.071439452972e-10       1.223399596003e-15       1.433808555312e-13       1.108229022593e-17       6.849364684461e-10       2.679083356311e-12       1.024177611447e-13 
   16       1.085781195927e-10       1.094915917819e-15       1.437273796414e-13       1.258008352321e-17       6.146321783750e-10       2.745146493819e-12       7.846926765456e-14 
   17       1.100649294044e-10       9.571336838612e-16       1.494175524306e-13       1.417482740892e-17       5.544835365460e-10       2.823322129174e-12       4.805116218102e-14 
   18       1.116042376542e-10       8.688904996367e-16       1.583368082710e-13       1.586661231834e-17       5.023946593781e-10       2.838096106814e-12       1.656403232702e-14 
   19       1.132186741640e-10       8.490635853331e-16       1.689432115488e-13       1.765546076955e-17       4.575296975929e-10       2.811437110599e-12      -1.225974687313e-14 
   20       1.148740040996e-10       8.960187584637e-16       1.795522632207e-13       1.954131643290e-17       4.180925161442e-10       2.793336843586e-12      -3.512587569678e-14 
   21       1.165823266723e-10       9.828937773066e-16       1.893660886278e-13       2.152407799796e-17       3.834400530848e-10       2.781240381831e-12      -5.072446212134e-14 
   22       1.183398163230e-10       1.071200351233e-15       1.978621699980e-13       2.360358610811e-17       3.527301547511e-10       2.755830664261e-12      -5.884187700840e-14 
   23       1.201346047314e-10       1.147317616061e-15       2.048439700188e-13       2.577966390646e-17       3.255251424639e-10       2.722370319983e-12      -6.008500850124e-14 
   24       1.219366635505e-10       1.208381543226e-15       2.103109009196e-13       2.805210391347e-17       3.011774694366e-10       2.691530602339e-12      -5.578044887194e-14 
   25       1.237632037480e-10       1.268444963979e-15       2.145923951257e-13       3.042071572330e-17       2.793906908141e-10       2.655014386855e-12      -4.743748283103e-14 
   26       1.256297945171e-10       1.348249382656e-15       2.181859358856e-13       3.288530976591e-17       2.597616228440e-10       2.600188726130e-12      -3.693706438798e-14 
   27       1.275280816632e-10       1.460472050073e-15       2.214840757503e-13       3.544573949246e-17       2.420481873969e-10       2.533933598370e-12      -2.593573063551e-14 
   28       1.294346714221e-10       1.613910745527e-15       2.248584026646e-13       3.810189127204e-17       2.259381803362e-10       2.468821164633e-12      -1.606533443190e-14 
   29       1.313558982905e-10       1.806774106575e-15       2.285151163025e-13       4.085373428972e-17       2.113453547224e-10       2.408587777506e-12      -8.093225529866e-15 
   30       1.332971157556e-10       2.032046413564e-15       2.326154148746e-13       4.370129283026e-17       1.981087905574e-10       2.353890485987e-12      -2.547144033345e-15 
   31       1.352544264459e-10       2.281749081948e-15       2.372709207614e-13       4.664464702188e-17       1.859532143579e-10       2.304574958212e-12       1.641276294600e-16 
   32       1.372326134678e-10       2.554392612693e-15       2.423532388740e-13       4.968396902666e-17       1.748134624884e-10       2.259345885352e-12       2.366753042291e-16 
   33       1.392314948339e-10       2.850193601959e-15       2.476023686127e-13       5.281951236071e-17       1.646087258510e-10       2.215803073436e-12      -1.806972872550e-15 
   34       1.412445649793e-10       3.169092653314e-15       2.526904436728e-13       5.605160412368e-17       1.551936371442e-10       2.171321758891e-12      -5.283190773990e-15 
   35       1.432749216401e-10       3.510627623375e-15       2.572988131096e-13       5.938062501429e-17       1.465185052468e-10       2.126170026487e-12      -9.549610545290e-15 
   36       1.453232972213e-10       3.873977140475e-15       2.610579605252e-13       6.280703380653e-17       1.385121770712e-10       2.081423117896e-12      -1.385012427063e-14 
   37       1.473863103451e-10       4.258164307743e-15       2.635908561634e-13       6.633134747286e-17       1.310686194691e-10       2.038083736540e-12      -1.740564564251e-14 
   38       1.494677098134e-10       4.662722482553e-15       2.647495502933e-13       6.995403233641e-17       1.241677915804e-10       1.996922317172e-12      -1.995063817861e-14 
   39       1.515697495176e-10       5.087227660412e-15       2.644542784493e-13       7.367558509426e-17       1.177871265380e-10       1.958558992589e-12      -2.136775752915e-14 
   40       1.536894767150e-10       5.531111133290e-15       2.626308604831e-13       7.749656688793e-17       1.118647928414e-10       1.923485791688e-12      -2.154551881356e-14 
   41       1.558213950696e-10       5.994283281879e-15       2.592331578373e-13       8.141755160663e-17       1.063210844208e-10       1.891815732439e-12      -2.044250646251e-14 
   42       1.579678151274e-10       6.479265510130e-15       2.543178038744e-13       8.543894133251e-17       1.011391885621e-10       1.862470966757e-12      -1.830257402796e-14 
   43       1.601309499361e-10       6.989740891487e-15       2.479948047464e-13       8.956109727522e-17       9.630495304962e-11       1.833702972697e-12      -1.551149784491e-14 
   44       1.623096724330e-10       7.530019373702e-15       2.404098393772e-13       9.378439013933e-17       9.178266087472e-11       1.803272579869e-12      -1.254519312274e-14 
   45       1.645015144783e-10       8.104109953059e-15       2.317138559064e-13       9.810914590874e-17       8.752770166007e-11       1.769166331669e-12      -9.879002003996e-15 
   46       1.667101497212e-10       8.712520609731e-15       2.219560761050e-13       1.025354638917e-16       8.353314420678e-11       1.732077019766e-12      -7.670484236609e-15 
   47       1.689395897584e-10       9.354563622544e-15       2.111625736685e-13       1.070633442635e-16       7.979417043039e-11       1.693609827478e-12      -5.990985558412e-15 
   48       1.711918622326e-10       1.002921813322e-14       1.993662206567e-13       1.116927345024e-16       7.629403470237e-11       1.655608628457e-12      -4.913392318600e-15 
   49       1.734668167846e-10       1.073511102976e-14       1.866069144662e-13       1.164235262582e-16       7.300317760600e-11       1.620166824745e-12      -4.511999910585e-15 
   50       1.757628290088e-10       1.147089242226e-14       1.729044733785e-13       1.212555382631e-16       6.988809551036e-11       1.589098957979e-12      -4.822042818253e-15 
   51       1.780795877788e-10       1.223652657341e-14       1.581681232038e-13       1.261884668541e-16       6.694284364199e-11       1.562161314345e-12      -5.705639605272e-15 
   52       1.804157290852e-10       1.303231833220e-14       1.422628341460e-13       1.312219166094e-16       6.416455223869e-11       1.538367057181e-12      -6.949232786632e-15 
   53       1.827678559692e-10       1.385854863286e-14       1.250334708106e-13       1.363554094361e-16       6.154400109535e-11       1.516469047110e-12      -8.298765214023e-15 
   54       1.851303867330e-10       1.471547394724e-14       1.063037329927e-13       1.415883807832e-16       5.906519241719e-11       1.494945304708e-12      -9.457650231681e-15 
   55       1.874978692614e-10       1.560332245751e-14       8.591405648299e-14       1.469202393085e-16       5.671021426967e-11       1.472371165862e-12      -1.015543318682e-14 
   56       1.898729449783e-10       1.652228271507e-14       6.384876773387e-14       1.523505719148e-16       5.447622430448e-11       1.448677314947e-12      -1.037840040692e-14 
   57       1.922600974368e-10       1.747251120511e-14       4.013866184917e-14       1.578789830148e-16       5.236193697461e-11       1.424178810818e-12      -1.019270301168e-14 
   58       1.946633050506e-10       1.845413471896e-14       1.482525883666e-14       1.635050342533e-16       5.036248638239e-11       1.399216292543e-12      -9.679393401909e-15 
   59       1.970859853863e-10       1.946724967867e-14      -1.203873768121e-14       1.692282431918e-16       4.846920525986e-11       1.374156508019e-12      -8.935149623940e-15 
   60       1.995309394567e-10       2.051192146172e-14      -4.038898175646e-14       1.750480819934e-16       4.666940394915e-11       1.349392842591e-12      -8.072999734144e-15 
   61       2.020002991350e-10       2.158817069393e-14      -7.016169398576e-14       1.809640790399e-16       4.494988790328e-11       1.325282076327e-12      -7.203380422595e-15 
   62       2.044954816323e-10       2.269593006108e-14      -1.013345281867e-13       1.869761534135e-16       4.330893282318e-11       1.301936871712e-12      -6.370705928104e-15 
   63       2.070171259020e-10       2.383507656065e-14      -1.338941054412e-13       1.930843535010e-16       4.174661749831e-11       1.279387433655e-12      -5.603781937035e-15 
   64       2.095650341099e-10       2.500544261081e-14      -1.678241003008e-13       1.992887625989e-16       4.026122210487e-11       1.257639705472e-12      -4.934313351652e-15 
   65       2.121381160256e-10       2.620681496155e-14      -2.031051840089e-13       2.055895008636e-16       3.884912580670e-11       1.236673874082e-12      -4.397004675496e-15 
   66       2.147343334147e-10       2.743893360589e-14      -2.397149677223e-13       2.119867272630e-16       3.750470435604e-11       1.216442875216e-12      -4.029660398771e-15 
   67       2.173506444303e-10       2.870149069097e-14      -2.776279457335e-13       2.184806415266e-16       3.622022769435e-11       1.196870898611e-12      -3.873285383725e-15 
   68       2.199841578262e-10       2.999413235496e-14      -3.168227918150e-13       2.250714832840e-16       3.498792318025e-11       1.177872297295e-12      -3.958449242674e-15 
   69       2.226359914764e-10       3.131646710364e-14      -3.573060919540e-13       2.317595249147e-16       3.380687963100e-11       1.159416105989e-12      -4.260946699561e-15 
   70       2.253080993884e-10       3.266805718288e-14      -3.990933405910e-13       2.385450807474e-16       3.267736469486e-11       1.141471970578e-12      -4.737291907358e-15 
