# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.347321239530e-10       6.943476449772e-15       5.013075607462e-13       0.000000000000e+00       9.289490348898e-09       3.807551653806e-10      -2.473961702367e-12 
    3       1.295417137720e-10       1.197892340829e-14       6.190971388606e-13       0.000000000000e+00       5.728072610178e-09       2.776978298170e-10      -2.188453501787e-12 
    4       1.235390870307e-10       1.434394125827e-14       6.378806009132e-13       0.000000000000e+00       3.987536623559e-09       2.138855292758e-10      -1.767403097142e-12 
    5       1.185963808883e-10       1.366132010564e-14       5.983637169058e-13       0.000000000000e+00       2.975855016402e-09       1.710227631630e-10      -1.336394318470e-12 
    6       1.149181581079e-10       1.089783175190e-14       5.287972552835e-13       0.000000000000e+00       2.323495354939e-09       1.404856534978e-10      -9.384980377462e-13 
    7       1.123603682840e-10       7.483212740746e-15       4.487381178948e-13       0.000000000000e+00       1.873009534935e-09       1.177154984871e-10      -5.966205054878e-13 
    8       1.107130319002e-10       4.553235555216e-15       3.700778110291e-13       0.000000000000e+00       1.546134490318e-09       1.001567390446e-10      -3.217072002234e-13 
    9       1.097861157911e-10       2.631499134134e-15       2.998759038609e-13       0.000000000000e+00       1.300288227780e-09       8.631329144861e-11      -1.166641445672e-13 
   10       1.094748787245e-10       1.682050265600e-15       2.419812441582e-13       0.000000000000e+00       1.110430572314e-09       7.521063889543e-11       2.178658785280e-14 
   11       1.096096939867e-10       1.363324342720e-15       1.981386694379e-13       0.000000000000e+00       9.323370400742e-10       6.635069818311e-11       1.006491700798e-13 
   12       1.100654715338e-10       1.298460819283e-15       1.685610912703e-13       0.000000000000e+00       8.142153222684e-10       5.886472597684e-11       1.332039272099e-13 
   13       1.108421311206e-10       1.242995299474e-15       1.520520615436e-13       0.000000000000e+00       7.173153981286e-10       5.240580078220e-11       1.299708441570e-13 
   14       1.118197573536e-10       1.121053427299e-15       1.463209377824e-13       0.000000000000e+00       6.367441707546e-10       4.713975446946e-11       1.040525677937e-13 
   15       1.129877666160e-10       9.698719370779e-16       1.485422632497e-13       0.000000000000e+00       5.689741697772e-10       4.271469534954e-11       6.621408797840e-14 
   16       1.142729905942e-10       8.570733952674e-16       1.559427664065e-13       0.000000000000e+00       5.113855024242e-10       3.874605732930e-11       2.524061130528e-14 
   17       1.156818437477e-10       8.214626868404e-16       1.660680084379e-13       0.000000000000e+00       4.620064147602e-10       3.536589970098e-11      -1.167809339022e-14 
   18       1.172070172227e-10       8.554108429034e-16       1.767522604801e-13       0.000000000000e+00       4.191661599235e-10       3.245127438813e-11      -4.011280843882e-14 
   19       1.188353182537e-10       9.278458995865e-16       1.868732885301e-13       0.000000000000e+00       3.821834757972e-10       2.990120888026e-11      -5.829136065263e-14 
   20       1.205033789567e-10       9.983813593957e-16       1.955443976851e-13       0.000000000000e+00       3.496237488408e-10       2.759447171223e-11      -6.591525368388e-14 
   21       1.222319043708e-10       1.057484116413e-15       2.025594470668e-13       0.000000000000e+00       3.209717968440e-10       2.552369705632e-11      -6.428606163256e-14 
   22       1.240357184211e-10       1.109195163449e-15       2.080461806439e-13       0.000000000000e+00       2.955395091835e-10       2.368463933375e-11      -5.599386436041e-14 
   23       1.259035427313e-10       1.172734110924e-15       2.124418111754e-13       0.000000000000e+00       2.729748393033e-10       2.205002020747e-11      -4.360303563836e-14 
   24       1.277971225726e-10       1.272438821864e-15       2.163596355655e-13       0.000000000000e+00       2.527533994364e-10       2.056613335632e-11      -3.005814715929e-14 
   25       1.297248101890e-10       1.415982282952e-15       2.202712109804e-13       0.000000000000e+00       2.346356284515e-10       1.921947514273e-11      -1.744474545017e-14 
   26       1.316930429131e-10       1.603675591585e-15       2.246056975643e-13       0.000000000000e+00       2.182920895109e-10       1.799581717316e-11      -7.607922593758e-15 
   27       1.336958015448e-10       1.828578897127e-15       2.295690434893e-13       0.000000000000e+00       2.035262361469e-10       1.688224270042e-11      -1.408853577054e-15 
   28       1.357148397327e-10       2.081232299702e-15       2.352316460596e-13       0.000000000000e+00       1.900831366008e-10       1.585957348698e-11       7.997095260285e-16 
   29       1.377573819157e-10       2.360091277003e-15       2.413996301263e-13       0.000000000000e+00       1.778934990818e-10       1.492623229758e-11      -4.939093586097e-16 
   30       1.398275060031e-10       2.665760707324e-15       2.477098067202e-13       0.000000000000e+00       1.668254594292e-10       1.407793236477e-11      -4.269577646736e-15 
   31       1.419197822485e-10       2.998323155959e-15       2.537107334802e-13       0.000000000000e+00       1.566521436392e-10       1.330291111735e-11      -9.267538917684e-15 
   32       1.440410278014e-10       3.356393908987e-15       2.590225157371e-13       0.000000000000e+00       1.473208420679e-10       1.259628683528e-11      -1.460482613006e-14 
   33       1.461941898996e-10       3.737628447499e-15       2.632238081151e-13       0.000000000000e+00       1.387656549629e-10       1.194954655938e-11      -1.935618713233e-14 
   34       1.483749874302e-10       4.139695800582e-15       2.658845283769e-13       0.000000000000e+00       1.308668522487e-10       1.134960067099e-11      -2.258713844450e-14 
   35       1.505843966651e-10       4.563004117545e-15       2.668456433382e-13       0.000000000000e+00       1.235837278903e-10       1.079117858143e-11      -2.407541102732e-14 
   36       1.528187609519e-10       5.008933751636e-15       2.660363486359e-13       0.000000000000e+00       1.168574015365e-10       1.026787210294e-11      -2.384201048842e-14 
   37       1.550701167703e-10       5.479302434898e-15       2.634233359660e-13       0.000000000000e+00       1.105998524627e-10       9.771522470466e-12      -2.201259983328e-14 
   38       1.573418510428e-10       5.976916208542e-15       2.590845493318e-13       0.000000000000e+00       1.047948372710e-10       9.302818891943e-12      -1.897594812989e-14 
   39       1.596370426314e-10       6.505253419998e-15       2.531642717634e-13       0.000000000000e+00       9.942397263266e-11       8.863753087122e-12      -1.529094887942e-14 
   40       1.619535586905e-10       7.068363101661e-15       2.458575575165e-13       0.000000000000e+00       9.443605251415e-11       8.454560611961e-12      -1.165581393276e-14 
   41       1.642867411888e-10       7.669966076704e-15       2.373655700128e-13       0.000000000000e+00       8.976488240853e-11       8.074079634836e-12      -8.761078823768e-15 
   42       1.666398563705e-10       8.310320972379e-15       2.277362855695e-13       0.000000000000e+00       8.539664756848e-11       7.721383927031e-12      -6.769351016361e-15 
   43       1.690161100648e-10       8.988397763516e-15       2.169774116031e-13       0.000000000000e+00       8.131965603743e-11       7.394390058659e-12      -5.681407704857e-15 
   44       1.714153705498e-10       9.702695924645e-15       2.050997890445e-13       0.000000000000e+00       7.750411979241e-11       7.089237295945e-12      -5.475945293787e-15 
   45       1.738357195070e-10       1.045168977477e-14       1.920945405464e-13       0.000000000000e+00       7.391277984297e-11       6.801465352902e-12      -6.083667682888e-15 
   46       1.762794452415e-10       1.123539109102e-14       1.778564959186e-13       0.000000000000e+00       7.053996320666e-11       6.530289500707e-12      -7.304385431797e-15 
   47       1.787482727901e-10       1.205420470538e-14       1.622377818044e-13       0.000000000000e+00       6.738175264304e-11       6.275371127447e-12      -8.862193158378e-15 
   48       1.812414146324e-10       1.290849350754e-14       1.450673002611e-13       0.000000000000e+00       6.442420911316e-11       6.035554954842e-12      -1.042446188446e-14 
   49       1.837553451020e-10       1.379857697373e-14       1.261493616703e-13       0.000000000000e+00       6.164262646025e-11       5.808808100918e-12      -1.159871829390e-14 
   50       1.862857715762e-10       1.472473721067e-14       1.053069346326e-13       0.000000000000e+00       5.900897221398e-11       5.592843444888e-12      -1.203388939860e-14 
   51       1.888347021895e-10       1.568724243424e-14       8.252840726690e-14       0.000000000000e+00       5.651832020135e-11       5.387330573156e-12      -1.176367495128e-14 
   52       1.914049066281e-10       1.668632732089e-14       5.785829950802e-14       0.000000000000e+00       5.416830443907e-11       5.192179635701e-12      -1.095098519885e-14 
   53       1.939977677154e-10       1.772218495860e-14       3.135684303350e-14       0.000000000000e+00       5.195120854854e-11       5.006881443050e-12      -9.793469712757e-15 
   54       1.966131592018e-10       1.879496572945e-14       3.100713796438e-15       0.000000000000e+00       4.985360566589e-11       4.830478731402e-12      -8.525307960348e-15 
   55       1.992503544618e-10       1.990476497785e-14      -2.683152154062e-14       0.000000000000e+00       4.786045282538e-11       4.661899119641e-12      -7.372146087598e-15 
   56       2.019112969058e-10       2.105158498803e-14      -5.840897823549e-14       0.000000000000e+00       4.596939013650e-11       4.501116669596e-12      -6.398695931609e-15 
   57       2.045979279484e-10       2.223536160358e-14      -9.160991265278e-14       0.000000000000e+00       4.417936310361e-11       4.348228550899e-12      -5.626412657428e-15 
   58       2.073111470216e-10       2.345597309356e-14      -1.264073811321e-13       0.000000000000e+00       4.248629689765e-11       4.203104306383e-12      -5.076997371084e-15 
   59       2.100507295306e-10       2.471323859811e-14      -1.627691030170e-13       0.000000000000e+00       4.088290981711e-11       4.065371209106e-12      -4.772362218668e-15 
   60       2.128152448085e-10       2.600691657401e-14      -2.006573236849e-13       0.000000000000e+00       3.935852674893e-11       3.934399619364e-12      -4.734595485405e-15 
   61       2.156030347642e-10       2.733669573542e-14      -2.400400405401e-13       0.000000000000e+00       3.790204363414e-11       3.809481741097e-12      -4.974267148376e-15 
   62       2.184155921320e-10       2.870216901629e-14      -2.809279353884e-13       0.000000000000e+00       3.651202043570e-11       3.690447904759e-12      -5.452357094850e-15 
   63       2.212547983672e-10       3.010285097863e-14      -3.233455266007e-13       0.000000000000e+00       3.518853293886e-11       3.577163261063e-12      -6.109680460653e-15 
   64       2.241218824332e-10       3.153818304464e-14      -3.673207568009e-13       0.000000000000e+00       3.393013681086e-11       3.469338250140e-12      -6.877396264025e-15 
   65       2.270173724118e-10       3.300753170415e-14      -4.128852164339e-13       0.000000000000e+00       3.273378104079e-11       3.366520094975e-12      -7.676602556113e-15 
   66       2.299410471128e-10       3.451018672212e-14      -4.600743673328e-13       0.000000000000e+00       3.159472137959e-11       3.268084294837e-12      -8.417931571451e-15 
   67       2.328918876840e-10       3.604535934612e-14      -5.089277662862e-13       0.000000000000e+00       3.050643377998e-11       3.173226118719e-12      -9.001144878457e-15 
   68       2.358687775060e-10       3.761224999213e-14      -5.594782009754e-13       0.000000000000e+00       2.946235720230e-11       3.081177788697e-12      -9.340370640699e-15 
   69       2.388728747225e-10       3.921027123494e-14      -6.117160417951e-13       0.000000000000e+00       2.846172559126e-11       2.991930146668e-12      -9.446658537584e-15 
   70       2.419056357258e-10       4.083886698892e-14      -6.656180352108e-13       0.000000000000e+00       2.750476754052e-11       2.905642606598e-12      -9.361502212494e-15 
   71       2.449680806796e-10       4.249744701218e-14      -7.211576933516e-13       0.000000000000e+00       2.659094242401e-11       2.822427717422e-12      -9.132923689982e-15 
   72       2.480607642665e-10       4.418538689099e-14      -7.783052340059e-13       0.000000000000e+00       2.571890062273e-11       2.742348428594e-12      -8.815724334723e-15 
   73       2.511837464357e-10       4.590202802416e-14      -8.370275206185e-13       0.000000000000e+00       2.488644375157e-11       2.665415355651e-12      -8.471735810457e-15 
   74       2.543365631505e-10       4.764667760750e-14      -8.972880022863e-13       0.000000000000e+00       2.409048488607e-11       2.591584045760e-12      -8.170071038941e-15 
   75       2.575181971364e-10       4.941860861820e-14      -9.590466537550e-13       0.000000000000e+00       2.332700878924e-11       2.520752243279e-12      -7.987375158895e-15 
   76       2.607276066350e-10       5.121696061547e-14      -1.022261124267e-12       0.000000000000e+00       2.259206897125e-11       2.452793908805e-12      -7.988708547242e-15 
   77       2.639654876490e-10       5.304042129299e-14      -1.086890558610e-12       0.000000000000e+00       2.188507669537e-11       2.387674482781e-12      -8.165616504364e-15 
   78       2.672327813985e-10       5.488748655790e-14      -1.152892367076e-12       0.000000000000e+00       2.120604226476e-11       2.325351770482e-12      -8.487169750311e-15 
   79       2.705301273011e-10       5.675655254660e-14      -1.220221043782e-12       0.000000000000e+00       2.055457318461e-11       2.265739104453e-12      -8.918186658828e-15 
   80       2.738578451612e-10       5.864591357537e-14      -1.288828131452e-12       0.000000000000e+00       1.992985565001e-11       2.208703363721e-12      -9.419087061053e-15 
   81       2.772159173606e-10       6.055376009089e-14      -1.358662186205e-12       0.000000000000e+00       1.933063603383e-11       2.154062993014e-12      -9.945746049210e-15 
   82       2.806039710485e-10       6.247817662084e-14      -1.429668742336e-12       0.000000000000e+00       1.875520237468e-11       2.101586021973e-12      -1.044934778032e-14 
   83       2.840212603310e-10       6.441713972444e-14      -1.501790277104e-12       0.000000000000e+00       1.820136586474e-11       2.050988084370e-12      -1.087623927987e-14 
   84       2.874670449764e-10       6.636867439874e-14      -1.574972084870e-12       0.000000000000e+00       1.766699311098e-11       2.001999167543e-12      -1.117966723290e-14 
   85       2.909418376770e-10       6.833135757830e-14      -1.649181095523e-12       0.000000000000e+00       1.715174485207e-11       1.954580913729e-12      -1.135754417588e-14 
   86       2.944463318641e-10       7.030389473565e-14      -1.724390125693e-12       0.000000000000e+00       1.665559288305e-11       1.908741878512e-12      -1.142070420552e-14 
   87       2.979810125962e-10       7.228496945163e-14      -1.800572309926e-12       0.000000000000e+00       1.617828579110e-11       1.864471190061e-12      -1.138162937995e-14 
   88       3.015461454129e-10       7.427324402908e-14      -1.877701164791e-12       0.000000000000e+00       1.571933970014e-11       1.821737723477e-12      -1.125450323657e-14 
   89       3.051417651887e-10       7.626736010651e-14      -1.955750652977e-12       0.000000000000e+00       1.527802901541e-11       1.780489275134e-12      -1.105526430978e-14 
   90       3.087676649880e-10       7.826593927183e-14      -2.034695247397e-12       0.000000000000e+00       1.485337716808e-11       1.740651737028e-12      -1.080165964873e-14 
   91       3.124233849181e-10       8.026758367599e-14      -2.114509995291e-12       0.000000000000e+00       1.444414735981e-11       1.702128271122e-12      -1.051329833514e-14 
   92       3.161082009842e-10       8.227087664671e-14      -2.195170582323e-12       0.000000000000e+00       1.404883330735e-11       1.664798483691e-12      -1.021170500105e-14 
   93       3.198213963264e-10       8.427434349583e-14      -2.276646756054e-12       0.000000000000e+00       1.366601686019e-11       1.628548466001e-12      -9.916298984664e-15 
   94       3.235631458065e-10       8.627632586572e-14      -2.358881325653e-12       0.000000000000e+00       1.329552248216e-11       1.593367878009e-12      -9.631523796867e-15 
   95       3.273337444742e-10       8.827508953129e-14      -2.441808107559e-12       0.000000000000e+00       1.293742009951e-11       1.559266007445e-12      -9.357871867513e-15 
   96       3.311333298666e-10       9.026886258877e-14      -2.525358258002e-12       0.000000000000e+00       1.259166953621e-11       1.526241807923e-12      -9.095784052045e-15 
   97       3.349618747380e-10       9.225583552302e-14      -2.609460245954e-12       0.000000000000e+00       1.225811629448e-11       1.494283496980e-12      -8.845647221167e-15 
   98       3.388191797906e-10       9.423416127478e-14      -2.694039826069e-12       0.000000000000e+00       1.193648733546e-11       1.463368154121e-12      -8.607791850518e-15 
   99       3.427048664046e-10       9.620195530794e-14      -2.779020011637e-12       0.000000000000e+00       1.162638685973e-11       1.433461318858e-12      -8.382489610346e-15 
  100       3.466183693688e-10       9.815729567685e-14      -2.864321047522e-12       0.000000000000e+00       1.132729208798e-11       1.404516588757e-12      -8.169950955178e-15 
  101       3.505589296105e-10       1.000982230936e-13      -2.949860383119e-12       0.000000000000e+00       1.103854904155e-11       1.376475217478e-12      -7.970322713496e-15 
  102       3.545255869264e-10       1.020227409951e-13      -3.035552645293e-12       0.000000000000e+00       1.075936832304e-11       1.349265712819e-12      -7.783685677408e-15 
  103       3.585171727128e-10       1.039288156107e-13      -3.121309611329e-12       0.000000000000e+00       1.048882089694e-11       1.322803434754e-12      -7.610052192323e-15 
  104       3.625325771267e-10       1.058144510842e-13      -3.207045902528e-12       0.000000000000e+00       1.022604885589e-11       1.297010356973e-12      -7.449316319927e-15 
  105       3.665716073298e-10       1.076779262523e-13      -3.292696999205e-12       0.000000000000e+00       9.970939233239e-12       1.271878257463e-12      -7.301101851357e-15 
  106       3.706342321681e-10       1.095175901261e-13      -3.378203620152e-12       0.000000000000e+00       9.723533770318e-12       1.247413354428e-12      -7.164889173706e-15 
  107       3.747203138908e-10       1.113317905733e-13      -3.463506254672e-12       0.000000000000e+00       9.483820224356e-12       1.223616726854e-12      -7.040057967173e-15 
  108       3.788296038967e-10       1.131188752104e-13      -3.548545198401e-12       0.000000000000e+00       9.251730511565e-12       1.200484134128e-12      -6.925884273564e-15 
  109       3.829617384803e-10       1.148771922949e-13      -3.633260589112e-12       0.000000000000e+00       9.027138850211e-12       1.178005835661e-12      -6.821537564793e-15 
  110       3.871162345775e-10       1.166050916169e-13      -3.717592442526e-12       0.000000000000e+00       8.809859903692e-12       1.156166410505e-12      -6.726077811382e-15 
  111       3.912924855123e-10       1.183009253918e-13      -3.801480688128e-12       0.000000000000e+00       8.599646923615e-12       1.134944576972e-12      -6.638452550961e-15 
  112       3.954897567423e-10       1.199630491520e-13      -3.884865204973e-12       0.000000000000e+00       8.396189892874e-12       1.114313012254e-12      -6.557493956769e-15 
  113       3.997071816048e-10       1.215898226386e-13      -3.967685857501e-12       0.000000000000e+00       8.199113668726e-12       1.094238172043e-12      -6.481915906154e-15 
  114       4.039437570636e-10       1.231796106944e-13      -4.049882531344e-12       0.000000000000e+00       8.007976125865e-12       1.074680110148e-12      -6.410311049076e-15 
  115       4.081983394540e-10       1.247307841549e-13      -4.131395169140e-12       0.000000000000e+00       7.822266299505e-12       1.055592298119e-12      -6.341147876603e-15 
  116       4.124698140984e-10       1.262417501090e-13      -4.212162502803e-12       0.000000000000e+00       7.641516511847e-12       1.036932296278e-12      -6.273058801745e-15 
  117       4.167576366394e-10       1.277110449459e-13      -4.292117998910e-12       0.000000000000e+00       7.465658187205e-12       1.018695624349e-12      -6.205750404575e-15 
  118       4.210613498407e-10       1.291372543483e-13      -4.371193485302e-12       0.000000000000e+00       7.294706011632e-12       1.000885689301e-12      -6.139198865968e-15 
  119       4.253804129200e-10       1.305189860763e-13      -4.449320434537e-12       0.000000000000e+00       7.128646980483e-12       9.835032188841e-13      -6.073368503081e-15 
  120       4.297141988326e-10       1.318548711189e-13      -4.526429988176e-12       0.000000000000e+00       6.967439549306e-12       9.665461771932e-13      -6.008211410908e-15 
  121       4.340619915549e-10       1.331435648458e-13      -4.602452981069e-12       0.000000000000e+00       6.811012784724e-12       9.500096802343e-13      -5.943667103833e-15 
  122       4.384229833675e-10       1.343837481587e-13      -4.677319965639e-12       0.000000000000e+00       6.659265515327e-12       9.338859114886e-13      -5.879662157183e-15 
  123       4.427962721387e-10       1.355741286439e-13      -4.750961236170e-12       0.000000000000e+00       6.512065482557e-12       9.181640374768e-13      -5.816109848783e-15 
  124       4.471808586082e-10       1.367134417232e-13      -4.823306853088e-12       0.000000000000e+00       6.369248491597e-12       9.028301233240e-13      -5.752909800509e-15 
  125       4.515756436697e-10       1.378004518058e-13      -4.894286667253e-12       0.000000000000e+00       6.230617562259e-12       8.878670483246e-13      -5.689947619843e-15 
  126       4.559794256551e-10       1.388339534404e-13      -4.963830344238e-12       0.000000000000e+00       6.095942079870e-12       8.732544215067e-13      -5.627094541426e-15 
  127       4.603908976175e-10       1.398127724665e-13      -5.031867388619e-12       0.000000000000e+00       5.964956946160e-12       8.589684971970e-13      -5.564207068611e-15 
  128       4.648086446145e-10       1.407357671663e-13      -5.098327168257e-12       0.000000000000e+00       5.837361730150e-12       8.449820905853e-13      -5.501126615019e-15 
  129       4.692313024853e-10       1.416018753758e-13      -5.163140178703e-12       0.000000000000e+00       5.712885302930e-12       8.312707964208e-13      -5.437716440281e-15 
  130       4.736580596450e-10       1.424102592158e-13      -5.226241941631e-12       0.000000000000e+00       5.591489562249e-12       8.178325957558e-13      -5.373977799803e-15 
  131       4.780882054604e-10       1.431601784886e-13      -5.287569581953e-12       0.000000000000e+00       5.473186556147e-12       8.046702505329e-13      -5.309945918696e-15 
  132       4.825209721444e-10       1.438509476076e-13      -5.347060658870e-12       0.000000000000e+00       5.357974625618e-12       7.917851543121e-13      -5.245653749071e-15 
  133       4.869555331959e-10       1.444819370778e-13      -5.404653199032e-12       0.000000000000e+00       5.245838024071e-12       7.791772929384e-13      -5.181131878456e-15 
  134       4.913910018381e-10       1.450525749769e-13      -5.460285729698e-12       0.000000000000e+00       5.136746536797e-12       7.668452052090e-13      -5.116408438214e-15 
  135       4.958264294577e-10       1.455623484352e-13      -5.513897311895e-12       0.000000000000e+00       5.030655100439e-12       7.547859435413e-13      -5.051509011957e-15 
  136       5.002608040439e-10       1.460108051167e-13      -5.565427573578e-12       0.000000000000e+00       4.927503422453e-12       7.429950346405e-13      -4.986456543968e-15 
  137       5.046930486273e-10       1.463975546995e-13      -5.614816742787e-12       0.000000000000e+00       4.827215600579e-12       7.314664401668e-13      -4.921271247617e-15 
  138       5.091220197188e-10       1.467222703563e-13      -5.662005680810e-12       0.000000000000e+00       4.729699742304e-12       7.201925174035e-13      -4.855970513777e-15 
  139       5.135465057488e-10       1.469846902352e-13      -5.706935915339e-12       0.000000000000e+00       4.634847584333e-12       7.091639799240e-13      -4.790568819241e-15 
  140       5.179652255059e-10       1.471846189401e-13      -5.749549673630e-12       0.000000000000e+00       4.542534112048e-12       6.983698582601e-13      -4.725077635145e-15 
  141       5.223768265762e-10       1.473219290113e-13      -5.789789915664e-12       0.000000000000e+00       4.452617178983e-12       6.877974605690e-13      -4.659505335377e-15 
  142       5.267798837816e-10       1.473965624063e-13      -5.827600367305e-12       0.000000000000e+00       4.364937126283e-12       6.774323333012e-13      -4.593857105000e-15 
  143       5.311728976198e-10       1.474085319800e-13      -5.862925553458e-12       0.000000000000e+00       4.279316402177e-12       6.672582218679e-13      -4.528134848670e-15 
  144       5.355544186343e-10       1.473579394551e-13      -5.895711225125e-12       0.000000000000e+00       4.195596824907e-12       6.572607452972e-13      -4.462343697941e-15 
  145       5.399234376423e-10       1.472450282028e-13      -5.925905618000e-12       0.000000000000e+00       4.113756315215e-12       6.474389115316e-13      -4.396512449569e-15 
  146       5.442790311903e-10       1.470701385041e-13      -5.953458381565e-12       0.000000000000e+00       4.033803002318e-12       6.377946679006e-13      -4.330674977439e-15 
  147       5.486202382463e-10       1.468336930892e-13      -5.978320231449e-12       0.000000000000e+00       3.955738451079e-12       6.283292712436e-13      -4.264863761421e-15 
  148       5.529460593627e-10       1.465361987126e-13      -6.000442984850e-12       0.000000000000e+00       3.879557497818e-12       6.190432699223e-13      -4.199109833715e-15 
  149       5.572554558390e-10       1.461782477289e-13      -6.019779595960e-12       0.000000000000e+00       3.805248086119e-12       6.099364858330e-13      -4.133442725190e-15 
  150       5.615473488846e-10       1.457605196675e-13      -6.036284191382e-12       0.000000000000e+00       3.732791102639e-12       6.010079964190e-13      -4.067890411727e-15 
  151       5.658206187813e-10       1.452837828087e-13      -6.049912105563e-12       0.000000000000e+00       3.662160212914e-12       5.922561166832e-13      -4.002479260561e-15 
  152       5.700741040463e-10       1.447488957584e-13      -6.060619916208e-12       0.000000000000e+00       3.593321697172e-12       5.836783811998e-13      -3.937233976624e-15 
  153       5.743066005946e-10       1.441568090240e-13      -6.068365479707e-12       0.000000000000e+00       3.526234286134e-12       5.752715261275e-13      -3.872177548888e-15 
  154       5.785168609020e-10       1.435085665892e-13      -6.073107966561e-12       0.000000000000e+00       3.460848996828e-12       5.670314712211e-13      -3.807331196704e-15 
  155       5.827035931676e-10       1.428053074898e-13      -6.074807896797e-12       0.000000000000e+00       3.397108968396e-12       5.589533018443e-13      -3.742714316145e-15 
  156       5.868654604767e-10       1.420482673890e-13      -6.073427175399e-12       0.000000000000e+00       3.334949297901e-12       5.510312509818e-13      -3.678344426352e-15 
  157       5.910010799634e-10       1.412387801525e-13      -6.068929127726e-12       0.000000000000e+00       3.274296876134e-12       5.432586812521e-13      -3.614237115870e-15 
  158       5.951090219731e-10       1.403782794239e-13      -6.061278534940e-12       0.000000000000e+00       3.215070223427e-12       5.356280669192e-13      -3.550405988994e-15 
  159       5.991878092258e-10       1.394683002005e-13      -6.050441669423e-12       0.000000000000e+00       3.157179325455e-12       5.281309759054e-13      -3.486862612111e-15 
  160       6.032359159783e-10       1.385104804079e-13      -6.036386330203e-12       0.000000000000e+00       3.100525469050e-12       5.207580518036e-13      -3.423616460040e-15 
  161       6.072518775690e-10       1.375065305262e-13      -6.019081930269e-12       0.000000000000e+00       3.045021487726e-12       5.135010882041e-13      -3.360677298874e-15 
  162       6.112346316963e-10       1.364581361397e-13      -5.998499692813e-12       0.000000000000e+00       2.990654854953e-12       5.063594955823e-13      -3.298062683940e-15 
  163       6.151832058608e-10       1.353670497397e-13      -5.974612540120e-12       0.000000000000e+00       2.937429882569e-12       4.993343745804e-13      -3.235791025444e-15 
  164       6.190966093706e-10       1.342351233165e-13      -5.947395078619e-12       0.000000000000e+00       2.885347743149e-12       4.924264668334e-13      -3.173879169493e-15 
  165       6.229738330123e-10       1.330643097876e-13      -5.916823634541e-12       0.000000000000e+00       2.834406399716e-12       4.856361466075e-13      -3.112342355653e-15 
  166       6.268138487212e-10       1.318566644260e-13      -5.882876289585e-12       0.000000000000e+00       2.784600535451e-12       4.789634124395e-13      -3.051194174498e-15 
  167       6.306156092523e-10       1.306143462887e-13      -5.845532916578e-12       0.000000000000e+00       2.735921483403e-12       4.724078787751e-13      -2.990446525162e-15 
  168       6.343780478503e-10       1.293396196451e-13      -5.804775215136e-12       0.000000000000e+00       2.688357156202e-12       4.659687676081e-13      -2.930109572894e-15 
  169       6.381000779206e-10       1.280348554050e-13      -5.760586747326e-12       0.000000000000e+00       2.641891975766e-12       4.596449001191e-13      -2.870191706606e-15 
  170       6.417805926997e-10       1.267025325476e-13      -5.712952973330e-12       0.000000000000e+00       2.596506803018e-12       4.534346883143e-13      -2.810699496429e-15 
  171       6.454184649258e-10       1.253452395490e-13      -5.661861287104e-12       0.000000000000e+00       2.552178867588e-12       4.473361266642e-13      -2.751637651263e-15 
  172       6.490125465094e-10       1.239656758114e-13      -5.607301052041e-12       0.000000000000e+00       2.508881697533e-12       4.413467837429e-13      -2.693008976328e-15 
  173       6.525616682039e-10       1.225666530909e-13      -5.549263636632e-12       0.000000000000e+00       2.466585049041e-12       4.354637938664e-13      -2.634814330720e-15 
