# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:(.)rho_scf            15:(.)p_scf              16:(.)w_scf              17:phi_scf               18:phi'_scf              19:V_scf                 20:V'_scf                21:V''_scf               22:gr.fac. D             23:gr.fac. f          
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       7.864208707110e+03       8.432371586352e-11       7.334327947439e+17       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       1.439995970030e+44       3.521610208226e+44       3.284407172304e+02       4.481533433858e+01       1.364487774734e-01       7.933743719450e-01       3.588052274817e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       1.138446087683e-04       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004949343856e-09       1.850596348697e+22       7.864208707110e+03       8.491398187457e-11       7.283344535690e+17       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       1.400371922191e+44       3.424706845811e+44       3.207908513142e+02       3.716546842246e+01       1.158557616908e-01       7.933743719450e-01       3.538342106562e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       1.252290696451e-04       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.039510142524e-09       1.824957520492e+22       7.864208707110e+03       8.550837974769e-11       7.232715527001e+17       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       1.361838200436e+44       3.330469951600e+44       3.134545527109e+02       2.982916981912e+01       9.516266253319e-02       7.933743719450e-01       3.489320640879e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       1.366135305219e-04       1.194638012970e+01 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       7.864208707110e+03       8.610693840592e-11       7.182438457796e+17       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       1.324364802505e+44       3.238826152983e+44       3.064189683245e+02       2.279358543274e+01       7.438699228502e-02       7.933743719450e-01       3.440978336233e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       1.479979913987e-04       1.102742781203e+01 
       9.069584935070e+13       9.188846604302e-26       5.110450729262e-09       1.774740571556e+22       7.864208707110e+03       8.670968697477e-11       7.132510881625e+17       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       1.287922551705e+44       3.149704096326e+44       2.996717719065e+02       1.604638901473e+01       5.354654832066e-02       7.933743719450e-01       3.393305783284e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       1.593824522755e-04       1.023975439688e+01 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       7.864208707110e+03       8.731665478359e-11       7.082930369041e+17       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       1.252483074190e+44       3.063034391418e+44       2.932011424601e+02       9.575759568324e+00       3.265935285237e-02       7.933743719450e-01       3.346293703049e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       1.707669131523e-04       9.557104103757e+00 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       7.864208707109e+03       8.792787136707e-11       7.033694507489e+17       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       1.218018776871e+44       2.978749557444e+44       2.869957435301e+02       3.370360638341e+00       1.174359102642e-02       7.933743719450e-01       3.299932945104e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       1.821513740291e-04       8.959785097272e+00 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       7.864208707109e+03       8.854336646664e-11       6.984800901180e+17       3.012869485804e-09       1.712281144399e+44       1.717550514356e+33       9.384473988662e+33       1.184502825932e+44       2.896783970443e+44       2.810447033417e+02      -2.580679550125e+00      -9.182452184439e-03       7.933743719450e-01       3.254214485793e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       1.935358349060e-04       8.432738915079e+00 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       7.864208707109e+03       8.916317003191e-11       6.936247170984e+17       3.033959572205e-09       1.665164686165e+44       1.681981083465e+33       9.190127216208e+33       1.151909125938e+44       2.817073812212e+44       2.753375957529e+02      -8.287787138907e+00      -3.010045582858e-02       7.933743719450e-01       3.209129426480e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       2.049202957828e-04       7.964253419797e+00 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       7.864208707109e+03       8.978731222213e-11       6.888030954303e+17       3.055197289210e-09       1.619344721000e+44       1.647148273944e+33       8.999805247701e+33       1.120212299515e+44       2.739557020621e+44       2.698644219885e+02      -1.376096090323e+01      -5.099212709045e-02       7.933743719450e-01       3.164668991814e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       2.163047566596e-04       7.545082187175e+00 
       8.697823467967e+13       9.991130883562e-26       5.328729457688e-09       1.632229530823e+22       7.864208707109e+03       9.041582340769e-11       6.840149904969e+17       3.076583670235e-09       1.574785573594e+44       1.613036830811e+33       8.813424731891e+33       1.089387667592e+44       2.664173241290e+44       2.646155931224e+02      -1.900978976943e+01      -7.183926519642e-02       7.933743719450e-01       3.120824528020e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       2.276892175364e-04       7.167828077816e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       7.864208707109e+03       9.104873417154e-11       6.792601693117e+17       3.098119755926e-09       1.531452550306e+44       1.579631815005e+33       8.630904043679e+33       1.059411230189e+44       2.590863780597e+44       2.595819132772e+02      -2.404346961460e+01      -9.262382463806e-02       7.933743719450e-01       3.077587501215e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       2.390736784132e-04       6.826502931254e+00 
       8.577320689599e+13       1.027383367260e-25       5.403308023233e-09       1.587315834980e+22       7.864208707109e+03       9.168607531074e-11       6.745384005081e+17       3.119806594217e-09       1.489311912151e+44       1.546918596845e+33       8.452163248374e+33       1.030259647727e+44       2.519571559978e+44       2.547545635141e+02      -2.887081937768e+01      -1.133279772477e-01       7.933743719450e-01       3.034949495750e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       2.504581392900e-04       6.516207343469e+00 
       8.517696811915e+13       1.041817076187e-25       5.441506800707e-09       1.565324589818e+22       7.864208707109e+03       9.232787783791e-11       6.698494543278e+17       3.141645240377e-09       1.448330848536e+44       1.514882849619e+33       8.277124066682e+33       1.001910222855e+44       2.450241071488e+44       2.501250863817e+02      -3.350029651010e+01      -1.339341726762e-01       7.933743719450e-01       2.992902212565e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       2.618426001668e-04       6.232893980709e+00 
       8.458487400115e+13       1.056453564290e-25       5.479705578182e-09       1.543638019285e+22       7.864208707109e+03       9.297417298278e-11       6.651931026095e+17       3.163636757059e-09       1.408477451704e+44       1.483510543315e+33       8.105709840428e+33       9.743408827823e+43       2.382818334582e+44       2.456853710987e+02      -3.794001179310e+01      -1.544251968420e-01       7.933743719450e-01       2.951437467583e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       2.732270610436e-04       5.973190064846e+00 
       8.399689573103e+13       1.071295680415e-25       5.517904355656e-09       1.522251902310e+22       7.864208707109e+03       9.362499219366e-11       6.605691187781e+17       3.185782214359e-09       1.369720691902e+44       1.452787938474e+33       7.937845498980e+33       9.475301620897e+43       2.317250854086e+44       2.414276393440e+02      -4.219774354776e+01      -1.747842279468e-01       7.933743719450e-01       2.910547190109e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       2.846115219204e-04       5.734262462252e+00 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       7.864208707109e+03       9.428036713901e-11       6.559772778333e+17       3.208082689859e-09       1.332030393213e+44       1.422701580172e+33       7.773457526374e+33       9.214571860169e+43       2.253487579321e+44       2.373444316293e+02      -4.628095126246e+01      -1.949948896831e-01       7.933743719450e-01       2.870223421264e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       2.959959827972e-04       5.513713906012e+00 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       7.864208707109e+03       9.494032970899e-11       6.514173563389e+17       3.230539268688e-09       1.295377210063e+44       1.393238292127e+33       7.612473929117e+33       8.961016542097e+43       2.191478864363e+44       2.334285942300e+02      -5.019678866182e+01      -2.150413012914e-01       7.933743719450e-01       2.830458312433e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       3.073804436740e-04       5.309502279863e+00 
       8.225737089444e+13       1.117084889096e-25       5.634319677483e-09       1.459854934362e+22       7.864208707109e+03       9.560491201695e-11       6.468891324120e+17       3.253153043568e-09       1.259732604377e+44       1.364385170934e+33       7.454824204656e+33       8.714438249143e+43       2.131176429380e+44       2.296732666518e+02      -5.395211623997e+01      -2.349081241647e-01       7.933743719450e-01       2.791244123738e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       3.187649045508e-04       5.119877198439e+00 
       8.168557189121e+13       1.132778814703e-25       5.674337444361e-09       1.439629578415e+22       7.864208707109e+03       9.627414640107e-11       6.423923857120e+17       3.275925114873e-09       1.225068823353e+44       1.336129580404e+33       7.300439310506e+33       8.474644996064e+43       2.072533323046e+44       2.260718696118e+02      -5.755351327995e+01      -2.545806047377e-01       7.933743719450e-01       2.752573222535e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       3.301493654276e-04       4.943329708838e+00 
       8.111774765760e+13       1.148693224271e-25       5.713445716538e-09       1.419684431832e+22       7.864208707109e+03       9.694806542587e-11       6.379268974300e+17       3.298856590677e-09       1.191358877859e+44       1.308459146041e+33       7.149251634008e+33       8.241450080431e+43       2.015503885986e+44       2.226180935111e+02      -6.100728938063e+01      -2.740446134383e-01       7.933743719450e-01       2.714438081922e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       3.415338263044e-04       4.778552051877e+00 
       8.055387056366e+13       1.164831215379e-25       5.753463483416e-09       1.400015612492e+22       7.864208707109e+03       9.762670188385e-11       6.334924502780e+17       3.321948586812e-09       1.158576521413e+44       1.281361749615e+33       7.001194962722e+33       8.014671937265e+43       1.960043715222e+44       2.193058873808e+02      -6.431949551098e+01      -2.932866795285e-01       7.933743719450e-01       2.676831279279e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       3.529182871812e-04       4.624405211493e+00 
       7.999391317146e+13       1.181195929123e-25       5.794390744995e-09       1.380619292058e+22       7.864208707109e+03       9.831008879704e-11       6.290888284787e+17       3.345202226919e-09       1.126696229756e+44       1.254825523857e+33       6.856204455425e+33       7.794133997669e+43       1.906109629604e+44       2.161294482805e+02      -6.749593461128e+01      -3.122940216998e-01       7.933743719450e-01       2.639745494823e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       3.643027480580e-04       4.479892548634e+00 
       7.943784823382e+13       1.197790550732e-25       5.834408511873e-09       1.361491695232e+22       7.864208707109e+03       9.899825941862e-11       6.247158177544e+17       3.368618642508e-09       1.095693180972e+44       1.228838847262e+33       6.714216613718e+33       7.579664551354e+43       1.853659636186e+44       2.130832111319e+02      -7.054217175983e+01      -3.310545743378e-01       7.933743719450e-01       2.603173510178e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       3.756872089348e-04       4.344138228979e+00 
       7.888564869297e+13       1.214618310179e-25       5.875335773453e-09       1.342629099020e+22       7.864208707109e+03       9.969124723455e-11       6.203732053172e+17       3.392198973005e-09       1.065543236164e+44       1.203390339001e+33       6.575169254216e+33       7.371096612945e+43       1.802652897536e+44       2.101618389689e+02      -7.346354392287e+01      -3.495570094138e-01       7.933743719450e-01       2.567108206978e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       3.870716698116e-04       4.216369457538e+00 
       7.833728767921e+13       1.231682482819e-25       5.916263035033e-09       1.324027832009e+22       7.864208707109e+03       1.003890859652e-10       6.160607798582e+17       3.415944365816e-09       1.036222920661e+44       1.178468853932e+33       6.439001481313e+33       7.168267791965e+43       1.753049699934e+44       2.073602135869e+02      -7.626516930488e+01      -3.677907540008e-01       7.933743719450e-01       2.531542565476e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       3.984561306884e-04       4.095901758751e+00 
       7.779273850965e+13       1.248986390020e-25       5.958099791314e-09       1.305684273648e+22       7.864208707109e+03       1.010918095669e-10       6.117783315374e+17       3.439855976376e-09       1.007709405738e+44       1.154063477724e+33       6.305653660515e+33       6.971020166400e+43       1.704811422453e+44       2.046734265762e+02      -7.895195631559e+01      -3.857460034569e-01       7.933743719450e-01       2.496469663178e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       4.098405915652e-04       3.982126709897e+00 
       7.725197468684e+13       1.266533399813e-25       5.999936547596e-09       1.287594853551e+22       7.864208707109e+03       1.017994522339e-10       6.075256519736e+17       3.463934968211e-09       9.799804908440e+43       1.130163522077e+33       6.175067392322e+33       6.779200159740e+43       1.657900506891e+44       2.020967707223e+02      -8.152861216947e+01      -4.034137303535e-01       7.933743719450e-01       2.461882673498e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       4.212250524420e-04       3.874501663683e+00 
       7.671496989756e+13       1.284326927547e-25       6.041773303878e-09       1.269756050794e+22       7.864208707109e+03       1.025120483996e-10       6.033025342339e+17       3.488182512988e-09       9.530145863146e+43       1.106758520036e+33       6.047185486651e+33       6.592658421409e+43       1.612280428527e+44       1.996257317591e+02      -8.399965113269e+01      -4.207856892620e-01       7.933743719450e-01       2.427774864427e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       4.326095133188e-04       3.772541093587e+00 
       7.618169801148e+13       1.302370436552e-25       6.083610060159e-09       1.252164393233e+22       7.864208707109e+03       1.032296327383e-10       5.991087728242e+17       3.512599790579e-09       9.267906965640e+43       1.083838221411e+33       5.921951937793e+33       6.411249710473e+43       1.567915667681e+44       1.972559804597e+02      -8.636940243205e+01      -4.378544175479e-01       7.933743719450e-01       2.394139597226e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       4.439939741956e-04       3.675809270674e+00 
       7.565213307992e+13       1.320667438815e-25       6.126356311142e-09       1.234816456831e+22       7.864208707109e+03       1.039522401675e-10       5.949441636784e+17       3.537187989113e-09       9.012884037369e+43       1.061392588289e+33       5.799311899882e+33       6.234832782562e+43       1.524771682062e+44       1.949833650520e+02      -8.864201783974e+01      -4.546132323446e-01       7.933743719450e-01       2.360970325128e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       4.553784350724e-04       3.583914038907e+00 
       7.512624933457e+13       1.339221495663e-25       6.169102562126e-09       1.217708864987e+22       7.864208707108e+03       1.046799058487e-10       5.908085041494e+17       3.561948305036e-09       8.764878518120e+43       1.039411790634e+33       5.679211662878e+33       6.063270279898e+43       1.482814879869e+44       1.928039039446e+02      -9.082147894718e+01      -4.710562239097e-01       7.933743719450e-01       2.328260592070e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       4.667628959492e-04       3.496501501373e+00 
       7.460402118627e+13       1.358036218455e-25       6.212758307811e-09       1.200838287881e+22       7.864208707108e+03       1.054126651896e-10       5.867015929984e+17       3.586881943171e-09       8.523697311413e+43       1.017886201986e+33       5.561598629041e+33       5.896428624344e+43       1.442012593641e+44       1.907137787510e+02      -9.291160414074e+01      -4.871782455846e-01       7.933743719450e-01       2.296004031433e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       4.781473568260e-04       3.413251465626e+00 
       7.408542322370e+13       1.377115269288e-25       6.256414053496e-09       1.184201441825e+22       7.864208707108e+03       1.061505538460e-10       5.826232303857e+17       3.611990116773e-09       8.289152634162e+43       9.968063952409e+32       5.446421289901e+33       5.734177913402e+43       1.402333054821e+44       1.887093276003e+02      -9.491605529144e+01      -5.029749005966e-01       7.933743719450e-01       2.264194364802e-13       4.254380743377e+02      -6.201639896319e+05       8.545907580967e+05       4.895318177028e-04       3.333873524565e+00 
