# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       6.727574230383e-09       7.146363019696e-15       6.619338767829e-12       0.000000000000e+00       7.422767987651e-09      -1.961227992888e-09      -2.203887777776e-12 
    3       5.782118681324e-09       1.243400932843e-14       7.947215669424e-12       0.000000000000e+00       4.558025281361e-09      -1.240815804725e-09      -1.960976907575e-12 
    4       5.080655928703e-09       1.500384297137e-14       8.126230130374e-12       0.000000000000e+00       3.175684112509e-09      -8.940715458531e-10      -1.591050353405e-12 
    5       4.536528480550e-09       1.440812309811e-14       7.550222469605e-12       0.000000000000e+00       2.373708859657e-09      -6.942213018504e-10      -1.208674517419e-12 
    6       4.099878510340e-09       1.160724508835e-14       6.522434048760e-12       0.000000000000e+00       1.856037641859e-09      -5.644793666634e-10      -8.537608124747e-13 
    7       3.740320673318e-09       8.070892017533e-15       5.287663999631e-12       0.000000000000e+00       1.498500405115e-09      -4.738033847137e-10      -5.473619707706e-13 
    8       3.438124877690e-09       4.990821473016e-15       4.027976946748e-12       0.000000000000e+00       1.238940227611e-09      -4.069858607498e-10      -2.997477502781e-13 
    9       3.179842209745e-09       2.937143769965e-15       2.870560578577e-12       0.000000000000e+00       1.043327306218e-09      -3.557726439562e-10      -1.139507928736e-13 
   10       2.955916479482e-09       1.897915183202e-15       1.894949412980e-12       0.000000000000e+00       8.917965457218e-10      -3.153013153564e-10       1.256091481892e-14 
   11       2.759415231483e-09       1.533118102669e-15       1.140420321026e-12       0.000000000000e+00       7.483332293796e-10      -2.822469319700e-10       8.574927162542e-14 
   12       2.585244707515e-09       1.453385338426e-15       6.139383253708e-13       0.000000000000e+00       6.540528637095e-10      -2.551780257005e-10       1.171747418706e-13 
   13       2.429658415794e-09       1.398457772833e-15       2.984972656830e-13       0.000000000000e+00       5.766608229681e-10      -2.332687201538e-10       1.159483271174e-13 
   14       2.289664371700e-09       1.281403032036e-15       1.612711040842e-13       0.000000000000e+00       5.122685251755e-10      -2.141186700432e-10       9.381746599723e-14 
   15       2.162920050435e-09       1.135805537158e-15       1.609476539398e-13       0.000000000000e+00       4.580702364954e-10      -1.973804159960e-10       6.047114292842e-14 
