# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.347321242737e-10       6.943476463072e-15       5.013075600450e-13       0.000000000000e+00       9.289490421520e-09       3.807551681628e-10      -2.473961703675e-12 
    3       1.295417144052e-10       1.197892342281e-14       6.190971383819e-13       0.000000000000e+00       5.728072673687e-09       2.776978350013e-10      -2.188453502600e-12 
    4       1.235390878215e-10       1.434394126249e-14       6.378806005024e-13       0.000000000000e+00       3.987536626932e-09       2.138855343833e-10      -1.767403097058e-12 
    5       1.185963809010e-10       1.366132009506e-14       5.983637164807e-13       0.000000000000e+00       2.975854996971e-09       1.710227640002e-10      -1.336394317538e-12 
    6       1.149181577826e-10       1.089783173023e-14       5.287972548485e-13       0.000000000000e+00       2.323495338941e-09       1.404856536303e-10      -9.384980361386e-13 
    7       1.123603687090e-10       7.483212716062e-15       4.487381174307e-13       0.000000000000e+00       1.873009502948e-09       1.177155009270e-10      -5.966205035373e-13 
    8       1.107130329253e-10       4.553235534972e-15       3.700778105267e-13       0.000000000000e+00       1.546134433007e-09       1.001567420398e-10      -3.217071983322e-13 
    9       1.097861163032e-10       2.631499121902e-15       2.998759033711e-13       0.000000000000e+00       1.300288155584e-09       8.631329243038e-11      -1.166641429451e-13 
   10       1.094748779241e-10       1.682050260643e-15       2.419812437703e-13       0.000000000000e+00       1.110430498481e-09       7.521063686270e-11       2.178658925541e-14 
   11       1.096096931000e-10       1.363324341780e-15       1.981386691944e-13       0.000000000000e+00       9.323370258323e-10       6.635069691935e-11       1.006491711830e-13 
   12       1.100654723558e-10       1.298460819022e-15       1.685610910842e-13       0.000000000000e+00       8.142153081702e-10       5.886472701155e-11       1.332039277103e-13 
