# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.081959332452e-10       1.503992547863e-15       2.339704535923e-13       4.259515105459e-20       9.078720506067e-10       5.309211308842e-10      -2.853018727325e-13 
    3       5.336015210849e-10       5.627560394517e-15       1.066609954612e-13       8.471773930430e-20       5.871702378659e-10       4.366122130147e-10      -5.842031802918e-13 
    4       4.881256084868e-10       1.403758996351e-14       2.675499699130e-14       1.401546217496e-19       3.822851378576e-10       3.170144447585e-10      -6.339032593935e-13 
    5       4.599253696636e-10       2.716834203233e-14      -2.002909830774e-13       2.082994327476e-19       2.612585735730e-10       2.341635611703e-10      -6.226093331061e-13 
    6       4.519667450960e-10       4.512137339811e-14      -6.306673434847e-13       2.884146241864e-19       1.860291807834e-10       1.781633069063e-10      -5.966053354446e-13 
    7       4.582895600620e-10       6.707788485331e-14      -1.253491718498e-12       3.796448952427e-19       1.366680068087e-10       1.390556927101e-10      -5.622515632596e-13 
    8       4.754264244512e-10       9.144203423999e-14      -2.028300487364e-12       4.810330973753e-19       1.029298173775e-10       1.108918039323e-10      -5.224916046853e-13 
    9       5.007338543715e-10       1.160777659470e-13      -2.898257930933e-12       5.915384591545e-19       7.912676179714e-11       9.005093101725e-11      -4.793482519040e-13 
   10       5.321727999581e-10       1.385779000441e-13      -3.790838122525e-12       7.100569208481e-19       6.189732316801e-11       7.424968837183e-11      -4.341977584603e-13 
   11       5.678277472873e-10       1.566021864256e-13      -4.622209359660e-12       8.354433056928e-19       4.966839751833e-11       6.588056337256e-11      -3.300781132214e-13 
   12       6.062914149508e-10       1.682421474231e-13      -5.305254822311e-12       9.665349853471e-19       4.003221417381e-11       5.610207061555e-11      -3.386715630244e-13 
   13       6.459958334727e-10       1.723591311494e-13      -5.757900830976e-12       1.102176623885e-18       3.250045122790e-11       4.720160332670e-11      -2.612316157429e-13 
   14       6.853713740171e-10       1.688657877215e-13      -5.907730573433e-12       1.241245511296e-18       2.680692548608e-11       4.109349274033e-11      -2.391482482572e-13 
   15       7.230666945519e-10       1.589148007126e-13      -5.698248241006e-12       1.382676927848e-18       2.223008591104e-11       3.499275555862e-11      -1.878393923047e-13 
   16       7.573349078858e-10       1.449796233660e-13      -5.092126782694e-12       1.525488919202e-18       1.867443259441e-11       3.050306915945e-11      -1.405302760864e-13 
   17       7.872811188168e-10       1.308068402216e-13      -4.075693719351e-12       1.668805813440e-18       1.577394818200e-11       2.654202985849e-11      -1.101368869210e-13 
   18       8.112974041635e-10       1.212954337131e-13      -2.659344875768e-12       1.811880007056e-18       1.342018313964e-11       2.313376801137e-11      -7.397931402939e-14 
   19       8.284119271886e-10       1.219688324967e-13      -8.767865683368e-13       1.954109716537e-18       1.154122495552e-11       2.029343228200e-11      -3.284766634464e-14 
   20       8.379387014842e-10       1.391113780061e-13       1.211601798289e-12       2.095057736219e-18       9.974139838568e-12       1.772334837836e-11       4.210159978730e-15 
   21       8.394672110364e-10       1.786039612376e-13       3.529120582579e-12       2.234455865987e-18       8.664574127755e-12       1.537817485145e-11       3.623168248053e-14 
   22       8.327804386428e-10       2.461772954867e-13       5.978007174025e-12       2.372224011820e-18       7.567019380084e-12       1.326363391524e-11       6.493565011617e-14 
   23       8.180425683898e-10       3.461463784499e-13       8.454066974774e-12       2.508454813870e-18       6.648074149508e-12       1.136422442802e-11       8.900742951282e-14 
   24       7.956986211161e-10       4.817306239480e-13       1.084133809539e-11       2.643433177769e-18       5.864416100085e-12       9.659946615931e-12       1.070306949387e-13 
   25       7.664882013635e-10       6.539419632151e-13       1.303086590138e-11       2.777592887756e-18       5.196437466333e-12       8.255331931689e-12       1.221534581492e-13 
   26       7.314070299824e-10       8.619126727704e-13       1.491344561063e-11       2.911545112122e-18       4.623548516416e-12       7.240085726478e-12       1.383314416694e-13 
   27       6.916235582401e-10       1.102216593821e-12       1.639664522835e-11       3.046022961070e-18       4.130799242385e-12       6.425837522188e-12       1.526828368795e-13 
   28       6.484788361550e-10       1.369226021523e-12       1.739970802765e-11       3.181894008074e-18       3.700953464753e-12       5.551250404880e-12       1.607602160931e-13 
   29       6.033028552972e-10       1.655476844175e-12       1.787397724797e-11       3.320025536217e-18       3.327610175837e-12       4.636789370697e-12       1.634868580277e-13 
   30       5.575439644834e-10       1.951254317532e-12       1.779007087848e-11       3.461385026646e-18       3.003001147927e-12       3.805835629756e-12       1.640910857899e-13 
   31       5.127176341018e-10       2.245057096234e-12       1.713727648981e-11       3.607014485896e-18       2.715831935055e-12       3.174258793100e-12       1.658340057647e-13 
   32       4.700337667582e-10       2.526037752905e-12       1.593824131206e-11       3.757789385433e-18       2.462273387021e-12       2.721020878661e-12       1.683987979494e-13 
   33       4.306184457682e-10       2.782279800299e-12       1.424330577797e-11       3.914564707624e-18       2.238438048499e-12       2.366912569421e-12       1.701357852972e-13 
   34       3.955194480911e-10       3.001235806276e-12       1.212612598106e-11       4.078164064993e-18       2.038687920456e-12       2.028763977848e-12       1.693590751758e-13 
   35       3.654235904287e-10       3.173781237313e-12       9.674054107765e-12       4.249141357454e-18       1.860684951768e-12       1.699217483465e-12       1.657239729787e-13 
   36       3.408147938697e-10       3.291559650587e-12       6.997686757695e-12       4.427919680500e-18       1.701777064612e-12       1.394084741569e-12       1.593263965480e-13 
   37       3.219999079526e-10       3.347316572133e-12       4.223336266307e-12       4.614781757495e-18       1.558467612226e-12       1.128150557946e-12       1.504168822068e-13 
   38       3.090003617179e-10       3.339649114979e-12       1.452117909282e-12       4.809659706860e-18       1.429698985542e-12       9.038386634084e-13       1.396404225299e-13 
   39       3.015929631010e-10       3.269984911366e-12      -1.210630949856e-12       5.012251357162e-18       1.314477797061e-12       7.186840442187e-13       1.278940007366e-13 
   40       2.993138158178e-10       3.141482637758e-12      -3.643323916101e-12       5.222055811005e-18       1.210899321424e-12       5.681546480433e-13       1.162786638945e-13 
   41       3.015048551647e-10       2.959731545240e-12      -5.725243002274e-12       5.438347779489e-18       1.116675414227e-12       4.465990141466e-13       1.058000479085e-13 
   42       3.075189265369e-10       2.734798360247e-12      -7.396593645830e-12       5.660129644417e-18       1.031106033130e-12       3.508604869250e-13       9.632237396546e-14 
   43       3.165483827685e-10       2.480074671787e-12      -8.616598626913e-12       5.886136408954e-18       9.536227295882e-13       2.775592657952e-13       8.729517821161e-14 
   44       3.275498239952e-10       2.211941382885e-12      -9.347629934283e-12       6.114827142092e-18       8.832075612202e-13       2.219915085363e-13       7.802733607369e-14 
   45       3.393993109710e-10       1.948153378180e-12      -9.566202099193e-12       6.344486055044e-18       8.186765170256e-13       1.792244551824e-13       6.788234971488e-14 
   46       3.514489282496e-10       1.702006689431e-12      -9.298905563878e-12       6.573601705903e-18       7.597105369347e-13       1.479837382922e-13       5.695464931474e-14 
   47       3.631109217501e-10       1.486724194575e-12      -8.597913149138e-12       6.800572330799e-18       7.060751943207e-13       1.277755394325e-13       4.558045191329e-14 
   48       3.736966720857e-10       1.317163427842e-12      -7.532322114032e-12       7.023587771671e-18       6.573150610468e-13       1.177816351250e-13       3.415403838459e-14 
   49       3.824114008584e-10       1.209887902199e-12      -6.189173521869e-12       7.240619324188e-18       6.127381562839e-13       1.168378752432e-13       2.313067482275e-14 
   50       3.885184583059e-10       1.180063084835e-12      -4.667228256339e-12       7.449644096127e-18       5.715894591261e-13       1.235531894445e-13       1.293315813364e-14 
   51       3.918970396815e-10       1.230985567727e-12      -3.053938466030e-12       7.649413430006e-18       5.336630492163e-13       1.367546186437e-13       3.634769783997e-15 
   52       3.926267041874e-10       1.361834994000e-12      -1.443987315434e-12       7.838875511598e-18       4.988292436024e-13       1.551258808919e-13      -4.804686773798e-15 
   53       3.908336477114e-10       1.570524742871e-12       5.335158755168e-14       8.016959952218e-18       4.668535591254e-13       1.770628464109e-13      -1.245160754992e-14 
   54       3.866933894202e-10       1.853623824000e-12       1.313535689168e-12       8.182578672437e-18       4.373900583572e-13       2.006586290743e-13      -1.940020196259e-14 
   55       3.804528695303e-10       2.205159845126e-12       2.219195401374e-12       8.334856435760e-18       4.100664528590e-13       2.240871807210e-13      -2.574055319452e-14 
