# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.309097141365e-09       1.169640473602e-15      -9.277241117820e-13       0.000000000000e+00       1.548891869945e-09       1.614582886950e-09      -4.910741979908e-13 
    3       2.273358464427e-09       1.806943113090e-15      -8.597745099866e-13       0.000000000000e+00       6.832091214398e-10       1.003558388684e-09      -2.376690512258e-13 
    4       2.235571498180e-09       2.282319943933e-15      -3.768603871553e-13       0.000000000000e+00       3.733302018562e-10       7.000503524210e-10       1.012241748314e-14 
    5       2.188775952109e-09       3.069343799905e-15       4.078438744516e-13       0.000000000000e+00       2.311302142951e-10       5.220131034900e-10       2.180637502148e-13 
    6       2.133171446170e-09       4.716582154044e-15       1.354039631458e-12       0.000000000000e+00       1.551943391726e-10       4.064146075115e-10       3.776080159891e-13 
    7       2.071024711315e-09       7.451143266321e-15       2.328181818795e-12       0.000000000000e+00       1.104510111269e-10       3.263465474069e-10       4.889561997860e-13 
    8       2.004532540250e-09       1.101783075545e-14       3.215365718834e-12       0.000000000000e+00       8.213739705970e-11       2.682704403676e-10       5.557190644033e-13 
    9       1.935435940056e-09       1.476810602882e-14       3.930627365063e-12       0.000000000000e+00       6.322068878676e-11       2.246731401560e-10       5.833982171072e-13 
   10       1.865425318225e-09       1.791011520357e-14       4.423496606305e-12       0.000000000000e+00       5.003111979639e-11       1.910605090784e-10       5.786512062673e-13 
   11       1.796016119813e-09       1.978939003229e-14       4.675989280084e-12       0.000000000000e+00       4.122792406338e-11       1.633393669258e-10       5.329722908836e-13 
   12       1.727941408720e-09       2.008570789042e-14       4.697538301645e-12       0.000000000000e+00       3.396864812124e-11       1.417542603683e-10       4.862551236265e-13 
   13       1.661622193285e-09       1.886924380543e-14       4.518387244073e-12       0.000000000000e+00       2.843940291035e-11       1.242420719272e-10       4.285647053217e-13 
   14       1.597651539279e-09       1.652350178516e-14       4.181754490683e-12       0.000000000000e+00       2.414081710120e-11       1.098585645595e-10       3.658237935794e-13 
   15       1.536246481717e-09       1.358923321583e-14       3.736752290040e-12       0.000000000000e+00       2.073661484762e-11       9.790157820275e-11       3.029545086058e-13 
   16       1.477461753734e-09       1.059899302526e-14       3.232375216440e-12       0.000000000000e+00       1.799755389263e-11       8.784829340030e-11       2.437226927266e-13 
   17       1.421289371488e-09       7.957534320075e-15       2.712803387566e-12       0.000000000000e+00       1.576292024628e-11       7.931213835012e-11       1.907253797387e-13 
   18       1.367667334680e-09       5.893958624936e-15       2.214742095221e-12       0.000000000000e+00       1.390916231754e-11       7.198008648652e-11       1.454316021347e-13 
   19       1.316972700810e-09       4.461544654704e-15       1.764004547610e-12       0.000000000000e+00       1.237639683985e-11       6.571026975914e-11       1.085697269538e-13 
   20       1.268485595193e-09       3.605974137542e-15       1.378797774567e-12       0.000000000000e+00       1.107618807393e-11       6.023426502722e-11       7.976494787210e-14 
   21       1.222468391139e-09       3.231876246407e-15       1.067471875368e-12       0.000000000000e+00       9.971462458545e-12       5.545694803149e-11       5.850246430910e-14 
   22       1.178795413558e-09       3.192926035547e-15       8.294477376916e-13       0.000000000000e+00       9.020942074341e-12       5.125505065264e-11       4.356357403923e-14 
   23       1.137541417942e-09       3.395992925563e-15       6.597966440698e-13       0.000000000000e+00       8.202081577443e-12       4.755166175261e-11       3.362721314355e-14 
   24       1.098369118076e-09       3.748838613999e-15       5.474304870614e-13       0.000000000000e+00       7.486902901496e-12       4.423871203245e-11       2.699547208713e-14 
   25       1.061310759841e-09       4.198368496872e-15       4.815833719235e-13       0.000000000000e+00       6.862102803879e-12       4.128164330053e-11       2.273477049639e-14 
   26       1.026181586130e-09       4.698694228037e-15       4.483929387431e-13       0.000000000000e+00       6.311884354802e-12       3.863658454898e-11       1.994380627484e-14 
   27       9.929889026449e-10       5.226011447875e-15       4.364142264465e-13       0.000000000000e+00       5.825633672152e-12       3.626265174931e-11       1.781650998203e-14 
   28       9.615855451863e-10       5.764684738772e-15       4.338019852883e-13       0.000000000000e+00       5.390740301992e-12       3.410386120385e-11       1.556096737047e-14 
   29       9.320855198232e-10       6.318551513107e-15       4.345388535760e-13       0.000000000000e+00       5.003143215766e-12       3.214802175580e-11       1.300856357432e-14 
   30       9.044143688097e-10       6.899686377639e-15       4.331919765625e-13       0.000000000000e+00       4.657153878086e-12       3.037708677451e-11       1.017695154096e-14 
   31       8.782667882247e-10       7.522715129770e-15       4.240917821230e-13       0.000000000000e+00       4.343781747667e-12       2.875693913568e-11       7.109159475270e-15 
   32       8.536654257255e-10       8.200888251130e-15       4.062538678456e-13       0.000000000000e+00       4.060425284015e-12       2.727733744780e-11       3.945959293272e-15 
   33       8.305597633740e-10       8.948876708116e-15       3.802936631145e-13       0.000000000000e+00       3.804172323087e-12       2.592369583452e-11       8.841568278006e-16 
   34       8.087542969625e-10       9.780719006632e-15       3.472288232786e-13       0.000000000000e+00       3.570333310003e-12       2.467258641908e-11      -1.865653630907e-15 
   35       7.882529232642e-10       1.069857163087e-14       3.086309138971e-13       0.000000000000e+00       3.357118012891e-12       2.351763395229e-11      -4.169879864674e-15 
   36       7.690030418307e-10       1.169990654662e-14       2.665823105025e-13       0.000000000000e+00       3.162246458000e-12       2.245088693709e-11      -5.911843109593e-15 
   37       7.508620915403e-10       1.278089678041e-14       2.232579115275e-13       0.000000000000e+00       2.982528294714e-12       2.145939661215e-11      -7.006634754902e-15 
   38       7.338497674189e-10       1.393837761754e-14       1.795113681565e-13       0.000000000000e+00       2.817231271118e-12       2.053984655447e-11      -7.534084499419e-15 
   39       7.179585470997e-10       1.516833629057e-14       1.358399021951e-13       0.000000000000e+00       2.665629514679e-12       1.968769534654e-11      -7.653393140202e-15 
   40       7.030734417468e-10       1.646526012838e-14       9.276092907396e-14       0.000000000000e+00       2.525991073837e-12       1.889262184188e-11      -7.571756948490e-15 
   41       6.890290528300e-10       1.782320514383e-14       5.064055751404e-14       0.000000000000e+00       2.396132171041e-12       1.814210445050e-11      -7.500798016144e-15 
   42       6.758269906551e-10       1.923965779103e-14       9.115752355403e-15       0.000000000000e+00       2.275504731049e-12       1.743475823631e-11      -7.500885214493e-15 
