# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.354599297816e-10       6.963007896507e-15       5.003004473966e-13       2.453516442100e-19       9.238025271246e-09       3.866858782637e-10      -2.475764007939e-12 
    3       1.301091748870e-10       1.200038112144e-14       6.184037574991e-13       4.909369099953e-19       5.708686739407e-09       2.817010127136e-10      -2.189588009623e-12 
    4       1.239937403595e-10       1.435081489545e-14       6.372977424867e-13       8.187393437610e-19       3.975465271394e-09       2.168024482671e-10      -1.767213716803e-12 
    5       1.189583665477e-10       1.364712249999e-14       5.977537475593e-13       1.229048480872e-18       2.966474762761e-09       1.732228915281e-10      -1.335001812085e-12 
    6       1.152072002076e-10       1.086808909212e-14       5.281545347116e-13       1.722208055156e-18       2.315819153376e-09       1.421843864872e-10      -9.362185976645e-13 
    7       1.126133346259e-10       7.449749778803e-15       4.480502314563e-13       2.298604924788e-18       1.867043566928e-09       1.191137488295e-10      -5.938661598136e-13 
    8       1.109467626033e-10       4.526926466487e-15       3.693704036264e-13       2.958656777910e-18       1.541612120555e-09       1.013781535536e-10      -3.188892549813e-13 
    9       1.099886168878e-10       2.617563152956e-15       2.992113313369e-13       3.702799093298e-18       1.296769581237e-09       8.735653421152e-11      -1.141378904773e-13 
   10       1.096615548797e-10       1.679459725177e-15       2.413970811055e-13       4.531471858451e-18       1.107824931439e-09       7.606232888829e-11       2.376549085001e-14 
   11       1.097698324289e-10       1.367422618961e-15       1.976834627163e-13       5.445106554596e-18       9.298874000988e-10       6.705852763582e-11       1.019499755169e-13 
   12       1.102262807705e-10       1.304511845449e-15       1.682887068968e-13       6.444113904766e-18       8.120987036475e-10       5.948652452970e-11       1.337380136068e-13 
   13       1.110076678088e-10       1.248525740439e-15       1.519510272043e-13       7.528872848120e-18       7.154727046842e-10       5.302606944959e-11       1.299556097170e-13 
   14       1.119810507923e-10       1.126216832327e-15       1.463441130677e-13       8.699721152119e-18       6.351240762725e-10       4.766116797639e-11       1.035004257450e-13 
   15       1.131153227307e-10       9.763216453235e-16       1.486834094812e-13       9.956948006359e-18       5.675377145770e-10       4.313936044537e-11       6.532831635439e-14 
   16       1.144226631471e-10       8.663989023200e-16       1.561743575335e-13       1.130078886037e-17       5.101054837902e-10       3.917015778208e-11       2.431778201398e-14 
   17       1.158400956845e-10       8.342058066686e-16       1.663078965324e-13       1.273142267585e-17       4.608589100728e-10       3.575459732388e-11      -1.256887397546e-14 
   18       1.173673588598e-10       8.709487311877e-16       1.769946078643e-13       1.424897049203e-17       4.181319959965e-10       3.280116194685e-11      -4.084071183423e-14 
   19       1.189985998427e-10       9.452909062584e-16       1.871086725039e-13       1.585350348847e-17       3.812463345450e-10       3.022172356861e-11      -5.874538808774e-14 
   20       1.206656968894e-10       1.017017595701e-15       1.957280770607e-13       1.754503467004e-17       3.487711673651e-10       2.788149997040e-11      -6.607712846884e-14 
   21       1.223922484606e-10       1.077248175125e-15       2.026832541465e-13       1.932354276050e-17       3.201929060236e-10       2.577926215971e-11      -6.417931609216e-14 
   22       1.241972611870e-10       1.130853955659e-15       2.081570812418e-13       2.118896234626e-17       2.948255485864e-10       2.392186862022e-11      -5.566867517556e-14 
   23       1.260632384229e-10       1.197211681478e-15       2.125646335052e-13       2.314121273338e-17       2.723180699022e-10       2.227701346134e-11      -4.312913387860e-14 
   24       1.279444621010e-10       1.300513698091e-15       2.164765904196e-13       2.518018803702e-17       2.521474799277e-10       2.078053093919e-11      -2.952127399643e-14 
   25       1.298588837229e-10       1.448028528386e-15       2.203823251497e-13       2.730579138272e-17       2.340748543295e-10       1.941709592939e-11      -1.694097334846e-14 
   26       1.318262588011e-10       1.639590130149e-15       2.247427193656e-13       2.951792268991e-17       2.177716533094e-10       1.817416277593e-11      -7.231333338074e-15 
   27       1.338357228359e-10       1.868207305889e-15       2.297468195034e-13       3.181650901380e-17       2.030420639716e-10       1.704377566162e-11      -1.209691336370e-15 
   28       1.358592397845e-10       2.124513267082e-15       2.354345014180e-13       3.420149685496e-17       1.896320611143e-10       1.601180073402e-11       8.284183511140e-16 
   29       1.379047580624e-10       2.407037722119e-15       2.416094873135e-13       3.667288865636e-17       1.774724837646e-10       1.507396403120e-11      -6.121008040027e-16 
   30       1.399810425987e-10       2.716474599286e-15       2.479163746609e-13       3.923072179037e-17       1.664316258248e-10       1.421970963650e-11      -4.506797946630e-15 
