# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.440363288561e+04       1.440363288561e-10       1.440363288561e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       2.477328854993e-08       1.903443976270e+44       4.655004511898e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       0.000000000000e+00       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       5.313879996118e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.440363288561e+04       1.450445831581e-10       1.430350832732e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       2.477328854993e-08       1.851067333040e+44       4.526913791294e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       2.509084730035e-46       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       7.413514858932e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.440363288561e+04       1.460598952402e-10       1.420407976893e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       2.477328854993e-08       1.800131926217e+44       4.402347714471e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       5.036468172113e-46       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       1.482702971786e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.440363288561e+04       1.470823145069e-10       1.410534237233e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       2.477328854993e-08       1.750598097619e+44       4.281209294592e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       7.583018897360e-46       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       2.224054457678e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.440363288561e+04       1.481118907084e-10       1.400729133300e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       2.477328854993e-08       1.702427280332e+44       4.163404213587e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       1.014961717259e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       2.965405943571e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.440363288561e+04       1.491486739434e-10       1.390992187984e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       2.477328854993e-08       1.655581968676e+44       4.048840748713e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       1.273715530007e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       3.706757429463e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.440363288561e+04       1.501927146610e-10       1.381322927491e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       2.477328854993e-08       1.610025689010e+44       3.937429701143e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       1.534653796320e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       4.448108915355e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.440363288561e+04       1.512440636636e-10       1.371720881322e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       2.477328854993e-08       1.565722971329e+44       3.829084326512e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       1.797868257825e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       5.189460401247e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.440363288561e+04       1.523027721092e-10       1.362185582246e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       2.477328854993e-08       1.522639321645e+44       3.723720267383e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       2.063451965225e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       5.930811887139e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.440363288561e+04       1.533688915140e-10       1.352716566282e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       2.477328854993e-08       1.480741195137e+44       3.621255487561e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       2.331499314728e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       6.672163373031e-07       1.592850683960e+01 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.440363288561e+04       1.544424737546e-10       1.343313372674e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       2.477328854993e-08       1.439995970030e+44       3.521610208226e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       2.602106085120e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       7.413514858923e-07       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.440363288561e+04       1.555235710709e-10       1.333975543867e+18       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       2.477328854993e-08       1.400371922191e+44       3.424706845811e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       2.875369475504e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       8.154866344815e-07       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.440363288561e+04       1.566122360684e-10       1.324702625488e+18       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       2.477328854993e-08       1.361838200436e+44       3.330469951600e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       3.151388143723e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       8.896217830707e-07       1.194638012970e+01 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.440363288561e+04       1.577085217208e-10       1.315494166324e+18       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       2.477328854993e-08       1.324364802505e+44       3.238826152983e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       3.430262245472e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       9.637569316599e-07       1.102742781203e+01 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.440363288561e+04       1.588124813729e-10       1.306349718296e+18       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       2.477328854993e-08       1.287922551705e+44       3.149704096326e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       3.712093474131e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       1.037892080249e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.440363288561e+04       1.599241687425e-10       1.297268836441e+18       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       2.477328854993e-08       1.252483074190e+44       3.063034391418e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       3.996985101320e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       1.112027228838e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       1.440363288561e+04       1.610436379237e-10       1.288251078888e+18       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       2.477328854993e-08       1.218018776871e+44       2.978749557444e+44       1.044435305202e-09      -1.044435305202e-09      -1.000000000000e+00       1.000000000000e+02       4.285042018205e-45       3.133305915605e-09      -7.733145976335e-08       1.720949949880e-08       1.186162377427e-06       8.959785097272e+00 
