# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.117039269927e-10       5.765881789806e-15       5.711588418817e-13       2.711413997289e-19       1.182007907757e-08      -9.972722702687e-11      -2.357566836999e-12 
    3       1.091604853326e-10       1.054166503255e-14       6.659878753660e-13       5.425795873737e-19       7.169197748613e-09      -3.878112991677e-11      -2.101858002752e-12 
    4       1.067620054797e-10       1.368023450155e-14       6.771939439378e-13       9.049481641784e-19       4.959418788398e-09      -1.534528941027e-11      -1.756122173716e-12 
    5       1.047854309794e-10       1.430725348044e-14       6.385763532028e-13       1.358613540776e-18       3.684861834737e-09      -4.753375595706e-12      -1.399057858163e-12 
    6       1.033430951298e-10       1.269656691423e-14       5.725911126620e-13       1.904009477815e-18       2.866156851965e-09       5.180668119402e-13      -1.058664529337e-12 
    7       1.024308821917e-10       9.809861181972e-15       4.956676116120e-13       2.541622339007e-18       2.304952545131e-09       3.165138529813e-12      -7.527541369609e-13 
    8       1.019669845036e-10       6.705513814549e-15       4.181686121514e-13       3.271974741592e-18       1.900958711220e-09       4.438435904973e-12      -4.911432820134e-13 
    9       1.019449834848e-10       4.149935346828e-15       3.462653053413e-13       4.095608247412e-18       1.598387177138e-09       5.019338452008e-12      -2.785672602421e-13 
   10       1.022867618867e-10       2.472006190847e-15       2.836160297131e-13       5.013065774164e-18       1.364448151539e-09       5.256899524046e-12      -1.159440914911e-13 
   11       1.028880329935e-10       1.620360761223e-15       2.323354436296e-13       6.024874415437e-18       1.120325885467e-09       6.115791608501e-12      -2.132869791755e-15 
   12       1.037601443575e-10       1.328588859010e-15       1.931987597390e-13       7.131529339575e-18       9.761986622717e-10       5.923904495956e-12       7.020274661852e-14 
   13       1.047963647425e-10       1.291403832185e-15       1.660377650859e-13       8.333479391951e-18       8.582903951668e-10       5.477178817912e-12       1.060719978745e-13 
   14       1.059780572246e-10       1.285791167857e-15       1.499634571121e-13       9.631114954713e-18       7.605007191281e-10       5.272723209809e-12       1.141653823728e-13 
   15       1.073075462747e-10       1.214004094008e-15       1.433504635108e-13       1.102475852532e-17       6.784397330638e-10       5.049325670009e-12       1.017586925175e-13 
