# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.267003734508e+04       1.267003734508e-10       1.267003734508e+18       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       2.985121549152e-08       1.903443976270e+44       4.655004511898e+44       1.666666666667e+21       0.000000000000e+00       0.000000000000e+00       5.116662618179e-02      -1.510561411817e-03       1.309011817414e+05       1.309011817414e+05       1.309011817414e+05       1.634695614730e-19       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.267003734508e+04       1.275872760650e-10       1.258196359988e+18       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       2.985121549152e-08       1.851067333040e+44       4.526913791294e+44       1.598350150574e+21       1.598350150574e+21       1.000000000000e+00       5.999999999997e-02      -9.861456399050e-04       1.799999999998e+05       1.799999999998e+05       1.799999999998e+05       2.280601036999e-07       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.267003734508e+04       1.284803869974e-10       1.249450208529e+18       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       2.985121549152e-08       1.800131926217e+44       4.402347714471e+44       1.532833922304e+21       1.532833922304e+21       1.000000000000e+00       5.999999999994e-02      -9.724832231036e-04       1.799999999996e+05       1.799999999996e+05       1.799999999996e+05       4.561202073995e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.267003734508e+04       1.293797497064e-10       1.240764854547e+18       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       2.985121549152e-08       1.750598097619e+44       4.281209294592e+44       1.470003198311e+21       1.470003198311e+21       1.000000000000e+00       5.999999999990e-02      -9.590100903443e-04       1.799999999994e+05       1.799999999994e+05       1.799999999994e+05       6.841803110992e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.267003734508e+04       1.302854079544e-10       1.232139875419e+18       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       2.985121549152e-08       1.702427280332e+44       4.163404213587e+44       1.409747900019e+21       1.409747900019e+21       1.000000000000e+00       5.999999999987e-02      -9.457236192179e-04       1.799999999992e+05       1.799999999992e+05       1.799999999992e+05       9.122404147988e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.267003734508e+04       1.311974058100e-10       1.223574851459e+18       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       2.985121549152e-08       1.655581968676e+44       4.048840748713e+44       1.351962460960e+21       1.351962460960e+21       1.000000000000e+00       5.999999999984e-02      -9.326212236469e-04       1.799999999990e+05       1.799999999990e+05       1.799999999990e+05       1.140300518498e-06       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.267003734508e+04       1.321157876507e-10       1.215069365897e+18       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       2.985121549152e-08       1.610025689010e+44       3.937429701143e+44       1.296545641827e+21       1.296545641827e+21       1.000000000000e+00       5.999999999981e-02      -9.197003533823e-04       1.799999999989e+05       1.799999999989e+05       1.799999999989e+05       1.368360622198e-06       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.267003734508e+04       1.330405981643e-10       1.206623004863e+18       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       2.985121549152e-08       1.565722971329e+44       3.829084326512e+44       1.243400353105e+21       1.243400353105e+21       1.000000000000e+00       5.999999999978e-02      -9.069584935070e-04       1.799999999987e+05       1.799999999987e+05       1.799999999987e+05       1.596420725898e-06       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.267003734508e+04       1.339718823514e-10       1.198235357362e+18       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       2.985121549152e-08       1.522639321645e+44       3.723720267383e+44       1.192433484965e+21       1.192433484965e+21       1.000000000000e+00       5.999999999975e-02      -8.943931639467e-04       1.799999999985e+05       1.799999999985e+05       1.799999999985e+05       1.824480829597e-06       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.267003734508e+04       1.349096855279e-10       1.189906015255e+18       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       2.985121549152e-08       1.480741195137e+44       3.621255487561e+44       1.143555744146e+21       1.143555744146e+21       1.000000000000e+00       5.999999999972e-02      -8.820019189868e-04       1.799999999983e+05       1.799999999983e+05       1.799999999983e+05       2.052540933297e-06       1.592850683960e+01 
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.267003734508e+04       1.358540533266e-10       1.181634573242e+18       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       2.985121549152e-08       1.439995970030e+44       3.521610208226e+44       1.096681497507e+21       1.096681497507e+21       1.000000000000e+00       5.999999999969e-02      -8.697823467967e-04       1.799999999981e+05       1.799999999981e+05       1.799999999981e+05       2.280601036996e-06       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.267003734508e+04       1.368050316999e-10       1.173420628840e+18       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       2.985121549152e-08       1.400371922191e+44       3.424706845811e+44       1.051728622003e+21       1.051728622003e+21       1.000000000000e+00       5.999999999966e-02      -8.577320689599e-04       1.799999999979e+05       1.799999999979e+05       1.799999999979e+05       2.508661140696e-06       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.267003734508e+04       1.377626669218e-10       1.165263782364e+18       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       2.985121549152e-08       1.361838200436e+44       3.330469951600e+44       1.008618360805e+21       1.008618360805e+21       1.000000000000e+00       5.999999999963e-02      -8.458487400115e-04       1.799999999978e+05       1.799999999978e+05       1.799999999978e+05       2.736721244395e-06       1.194638012970e+01 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.267003734508e+04       1.387270055902e-10       1.157163636906e+18       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       2.985121549152e-08       1.324364802505e+44       3.238826152983e+44       9.672751853186e+20       9.672751853186e+20       1.000000000000e+00       5.999999999960e-02      -8.341300469814e-04       1.799999999976e+05       1.799999999976e+05       1.799999999976e+05       2.964781348094e-06       1.102742781203e+01 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.267003734508e+04       1.396980946293e-10       1.149119798317e+18       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       2.985121549152e-08       1.287922551705e+44       3.149704096326e+44       9.276266628603e+20       9.276266628603e+20       1.000000000000e+00       5.999999999957e-02      -8.225737089445e-04       1.799999999974e+05       1.799999999974e+05       1.799999999974e+05       3.192841451794e-06       1.023975439688e+01 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.267003734508e+04       1.406759812917e-10       1.141131875191e+18       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       2.985121549152e-08       1.252483074190e+44       3.063034391418e+44       8.896033297554e+20       8.896033297554e+20       1.000000000000e+00       5.999999999954e-02      -8.111774765760e-04       1.799999999972e+05       1.799999999972e+05       1.799999999972e+05       3.420901555493e-06       9.557104103757e+00 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       1.267003734508e+04       1.416607131608e-10       1.133199478839e+18       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       2.985121549152e-08       1.218018776871e+44       2.978749557444e+44       8.531385696394e+20       8.531385696394e+20       1.000000000000e+00       5.999999999951e-02      -7.999391317146e-04       1.799999999971e+05       1.799999999971e+05       1.799999999971e+05       3.648961659192e-06       8.959785097272e+00 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       1.267003734508e+04       1.426523381529e-10       1.125322223276e+18       3.012869485804e-09       1.712281144399e+44       1.717550514356e+33       9.384473988662e+33       2.985121549152e-08       1.184502825932e+44       2.896783970443e+44       8.181684967461e+20       8.181684967461e+20       1.000000000000e+00       5.999999999948e-02      -7.888564869297e-04       1.799999999969e+05       1.799999999969e+05       1.799999999969e+05       3.877021762892e-06       8.432738915079e+00 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       1.267003734508e+04       1.436509045200e-10       1.117499725200e+18       3.033959572205e-09       1.665164686165e+44       1.681981083465e+33       9.190127216208e+33       2.985121549152e-08       1.151909125938e+44       2.817073812212e+44       7.846318439814e+20       7.846318439814e+20       1.000000000000e+00       5.999999999945e-02      -7.779273850965e-04       1.799999999967e+05       1.799999999967e+05       1.799999999967e+05       4.105081866591e-06       7.964253419797e+00 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       1.267003734508e+04       1.446564608516e-10       1.109731603972e+18       3.055197289210e-09       1.619344721000e+44       1.647148273944e+33       8.999805247701e+33       2.985121549152e-08       1.120212299515e+44       2.739557020621e+44       7.524698555836e+20       7.524698555836e+20       1.000000000000e+00       5.999999999942e-02      -7.671496989756e-04       1.799999999965e+05       1.799999999965e+05       1.799999999965e+05       4.333141970290e-06       7.545082187175e+00 
       8.697823467967e+13       9.991130883562e-26       5.329638952389e-09       1.632229530823e+22       1.267003734508e+04       1.456690560776e-10       1.102017481601e+18       3.076583670235e-09       1.574785573594e+44       1.613036830811e+33       8.813424731891e+33       2.985121549152e-08       1.089387667592e+44       2.664173241290e+44       7.216261841847e+20       7.216261841847e+20       1.000000000000e+00       5.999999999940e-02      -7.565213307992e-04       1.799999999964e+05       1.799999999964e+05       1.799999999964e+05       4.561202073990e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.267003734508e+04       1.466887394701e-10       1.094356982722e+18       3.098119755926e-09       1.531452550306e+44       1.579631815005e+33       8.630904043679e+33       2.985121549152e-08       1.059411230189e+44       2.590863780597e+44       6.920467920898e+20       6.920467920898e+20       1.000000000000e+00       5.999999999937e-02      -7.460402118627e-04       1.799999999962e+05       1.799999999962e+05       1.799999999962e+05       4.789262177689e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.267003734508e+04       1.477155606464e-10       1.086749734580e+18       3.119806594217e-09       1.489311912151e+44       1.546918596845e+33       8.452163248374e+33       2.985121549152e-08       1.030259647727e+44       2.519571559978e+44       6.636798566045e+20       6.636798566045e+20       1.000000000000e+00       5.999999999934e-02      -7.357043021222e-04       1.799999999960e+05       1.799999999960e+05       1.799999999960e+05       5.017322281388e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589818e+22       1.267003734508e+04       1.487495695709e-10       1.079195367011e+18       3.141645240377e-09       1.448330848536e+44       1.514882849619e+33       8.277124066682e+33       2.985121549152e-08       1.001910222855e+44       2.450241071488e+44       6.364756792420e+20       6.364756792420e+20       1.000000000000e+00       5.999999999931e-02      -7.255115897971e-04       1.799999999959e+05       1.799999999959e+05       1.799999999959e+05       5.245382385087e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453564290e-25       5.478796083480e-09       1.543638019285e+22       1.267003734508e+04       1.497908165579e-10       1.071693512424e+18       3.163636757059e-09       1.408477451704e+44       1.483510543315e+33       8.105709840428e+33       2.985121549152e-08       9.743408827823e+43       2.382818334582e+44       6.103865986519e+20       6.103865986519e+20       1.000000000000e+00       5.999999999929e-02      -7.154600909790e-04       1.799999999957e+05       1.799999999957e+05       1.799999999957e+05       5.473442488787e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295680415e-25       5.518813850358e-09       1.522251902310e+22       1.267003734508e+04       1.508393522738e-10       1.064243805783e+18       3.185782214359e-09       1.369720691902e+44       1.452787938474e+33       7.937845498980e+33       2.985121549152e-08       9.475301620897e+43       2.317250854086e+44       5.853669071181e+20       5.853669071181e+20       1.000000000000e+00       5.999999999926e-02      -7.055478492449e-04       1.799999999955e+05       1.799999999955e+05       1.799999999955e+05       5.701502592486e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       1.267003734508e+04       1.518952277398e-10       1.056845884591e+18       3.208082689859e-09       1.332030393213e+44       1.422701580172e+33       7.773457526374e+33       2.985121549152e-08       9.214571860169e+43       2.253487579321e+44       5.613727704799e+20       5.613727704799e+20       1.000000000000e+00       5.999999999923e-02      -6.957729352772e-04       1.799999999954e+05       1.799999999954e+05       1.799999999954e+05       5.929562696185e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       1.267003734508e+04       1.529584943339e-10       1.049499388869e+18       3.230539268688e-09       1.295377210063e+44       1.393238292127e+33       7.612473929117e+33       2.985121549152e-08       8.961016542097e+43       2.191478864363e+44       5.383621513348e+20       5.383621513348e+20       1.000000000000e+00       5.999999999920e-02      -6.861334464875e-04       1.799999999952e+05       1.799999999952e+05       1.799999999952e+05       6.157622799884e-06       5.309502279863e+00 
       8.225737089444e+13       1.117084889096e-25       5.635229172185e-09       1.459854934362e+22       1.267003734508e+04       1.540292037943e-10       1.042203961141e+18       3.253153043568e-09       1.259732604377e+44       1.364385170934e+33       7.454824204656e+33       2.985121549152e-08       8.714438249143e+43       2.131176429380e+44       5.162947353896e+20       5.162947353896e+20       1.000000000000e+00       5.999999999918e-02      -6.766275066466e-04       1.799999999951e+05       1.799999999951e+05       1.799999999951e+05       6.385682903583e-06       5.119877198439e+00 
       8.168557189121e+13       1.132778814703e-25       5.673427949660e-09       1.439629578415e+22       1.267003734508e+04       1.551074082208e-10       1.034959246416e+18       3.275925114873e-09       1.225068823353e+44       1.336129580404e+33       7.300439310506e+33       2.985121549152e-08       8.474644996064e+43       2.072533323046e+44       4.951318608302e+20       4.951318608302e+20       1.000000000000e+00       5.999999999915e-02      -6.672532655193e-04       1.799999999949e+05       1.799999999949e+05       1.799999999949e+05       6.613743007282e-06       4.943329708838e+00 
