# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.659008834877e-10       2.230837867114e-15       1.051111691419e-12       4.466468862847e-20       1.568136508243e-09       7.626048083561e-10       1.219536266689e-12 
    3       5.300689041984e-10       8.320406928376e-16       5.704695222910e-13       9.012320626243e-20       1.051687520836e-09       6.007403588230e-10       4.744478894928e-13 
    4       4.526780853183e-10       9.760999262304e-16       3.519174311297e-13       1.519218591221e-19       7.383689371277e-10       4.493243898620e-10       6.115884044907e-14 
    5       3.934564009402e-10       1.883682647709e-15       2.992071928931e-13       2.309891614351e-19       5.441270427907e-10       3.424444110777e-10      -9.064260681111e-14 
    6       3.535844903149e-10       3.425416933045e-15       2.982164934665e-13       3.283797469210e-19       4.158737683139e-10       2.674538066001e-10      -1.466941614336e-13 
    7       3.285502923525e-10       5.679227055387e-15       3.006512307781e-13       4.452118843111e-19       3.265630273840e-10       2.134305591070e-10      -1.658541940118e-13 
    8       3.138556053442e-10       8.751591053427e-15       2.811088877777e-13       5.826001744270e-19       2.618406877544e-10       1.734672594162e-10      -1.704691540675e-13 
    9       3.066847245994e-10       1.273663846524e-14       2.284554798586e-13       7.415869961581e-19       2.134768922798e-10       1.431946556478e-10      -1.694641657484e-13 
   10       3.053151563017e-10       1.770119046837e-14       1.359208375818e-13       9.230763862397e-19       1.764462522456e-10       1.197789101967e-10      -1.663142109168e-13 
   11       3.078052831922e-10       2.367945010339e-14       3.582610565027e-16       1.127773976380e-18       1.484894172442e-10       1.042903001542e-10      -1.622279438093e-13 
   12       3.134305890259e-10       3.067219067092e-14      -1.784935843376e-13       1.356136372035e-18       1.252350707351e-10       8.946745067739e-11      -1.518992685340e-13 
   13       3.219238392261e-10       3.864914933211e-14      -4.022344872506e-13       1.608332949190e-18       1.066295111784e-10       7.685752000316e-11      -1.593440293442e-13 
   14       3.324721588922e-10       4.754348706451e-14      -6.707188272787e-13       1.884222485802e-18       9.144236661210e-11       6.730433724139e-11      -1.427854569925e-13 
   15       3.446967858318e-10       5.725049800056e-14      -9.804291829820e-13       2.183346357240e-18       7.894530750883e-11       5.864575603700e-11      -1.514666540897e-13 
   16       3.585274152433e-10       6.763455194583e-14      -1.327756648909e-12       2.504939240161e-18       6.858864264338e-11       5.198451818756e-11      -1.399729895826e-13 
   17       3.738308215140e-10       7.853280417717e-14      -1.709250974553e-12       2.847957421860e-18       5.988941140233e-11       4.598894683233e-11      -1.420074139981e-13 
   18       3.903165835757e-10       8.975590621360e-14      -2.119684227674e-12       3.211114590186e-18       5.253271832893e-11       4.094059674935e-11      -1.405872649121e-13 
   19       4.079121273554e-10       1.010955163012e-13      -2.552622910873e-12       3.592988924110e-18       4.635299973838e-11       3.684692586562e-11      -1.322102414112e-13 
   20       4.264786792883e-10       1.123233193216e-13      -3.000793339679e-12       3.991995369713e-18       4.104469583548e-11       3.324446696457e-11      -1.261469051405e-13 
   21       4.459648636301e-10       1.232085533308e-13      -3.456915515429e-12       4.406598527020e-18       3.648980007165e-11       3.006287467624e-11      -1.223800741422e-13 
   22       4.662613228324e-10       1.335150089599e-13      -3.913314843723e-12       4.835272824182e-18       3.255111399384e-11       2.730433798401e-11      -1.178182724571e-13 
   23       4.872752864743e-10       1.430167618792e-13      -4.361654025828e-12       5.276717664687e-18       2.914971052567e-11       2.491712530789e-11      -1.124608357133e-13 
   24       5.088611422505e-10       1.514961043555e-13      -4.793165258417e-12       5.729817978761e-18       2.617967216621e-11       2.280231481971e-11      -1.072385902486e-13 
   25       5.309179381888e-10       1.587592884146e-13      -5.199129886091e-12       6.193848438813e-18       2.358841618080e-11       2.092973469198e-11      -1.022447717622e-13 
   26       5.533152415506e-10       1.646348651694e-13      -5.570835305797e-12       6.668432483655e-18       2.131184685641e-11       1.926778648705e-11      -9.719093499711e-14 
   27       5.759301326355e-10       1.689879087972e-13      -5.899881920592e-12       7.153690154383e-18       1.930883957842e-11       1.777596826795e-11      -9.152737340564e-14 
   28       5.986141225924e-10       1.717197001157e-13      -6.178156745178e-12       7.650202623695e-18       1.753058458301e-11       1.640395972860e-11      -8.473998034994e-14 
   29       6.212517320787e-10       1.727817640116e-13      -6.398066441099e-12       8.159051628027e-18       1.596005546587e-11       1.515217162722e-11      -7.733627097530e-14 
   30       6.437034476953e-10       1.721728149309e-13      -6.552511594357e-12       8.681849347975e-18       1.457252004662e-11       1.402832749038e-11      -7.028611354649e-14 
   31       6.657992304589e-10       1.699409395456e-13      -6.634982242439e-12       9.220692389132e-18       1.332959464655e-11       1.302966393848e-11      -6.451302302684e-14 
   32       6.874048517440e-10       1.661907442214e-13      -6.639824947494e-12       9.777905591577e-18       1.221892560065e-11       1.214528061367e-11      -5.990309988234e-14 
   33       7.083746067650e-10       1.610866739590e-13      -6.562246984061e-12       1.035626682559e-17       1.122677965908e-11       1.135249666910e-11      -5.590947262136e-14 
   34       7.285445306894e-10       1.548533346056e-13      -6.398378167158e-12       1.095893684577e-17       1.033226118901e-11       1.062239024688e-11      -5.192496552116e-14 
   35       7.477786470829e-10       1.477668266016e-13      -6.145366266888e-12       1.158885956582e-17       9.527188535091e-12       9.945544409626e-12      -4.774259061433e-14 
