# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.350793187646e-10       6.952942826795e-15       5.008216527015e-13       2.455476990475e-19       9.265230453112e-09       3.835951600702e-10      -2.474870393592e-12 
    3       1.298138781127e-10       1.198946059026e-14       6.187637925040e-13       4.913289692038e-19       5.718728554103e-09       2.796184026485e-10      -2.189017848142e-12 
    4       1.237572369309e-10       1.434767275793e-14       6.375997572393e-13       8.193926751268e-19       3.981806913617e-09       2.152826187558e-10      -1.767314748786e-12 
    5       1.187703070029e-10       1.365519173541e-14       5.980711666018e-13       1.230028316168e-18       2.971542451552e-09       1.720732358967e-10      -1.335731242342e-12 
    6       1.150577854876e-10       1.088451607399e-14       5.284899323574e-13       1.723579606287e-18       2.319858988485e-09       1.412985054003e-10      -9.374098793597e-13 
    7       1.124848125352e-10       7.468402640392e-15       4.484081620163e-13       2.300433414261e-18       1.870055777946e-09       1.183873084176e-10      -5.953044163834e-13 
    8       1.108288839654e-10       4.542178930640e-15       3.697379249585e-13       2.961007484236e-18       1.543870419993e-09       1.007429620772e-10      -3.203601164295e-13 
    9       1.098870184352e-10       2.626745828345e-15       2.995582688875e-13       3.705737410875e-18       1.298531135228e-09       8.681268004674e-11      -1.154557514658e-13 
   10       1.095699949919e-10       1.683162787779e-15       2.417016467796e-13       4.535063370448e-18       1.109150834945e-09       7.561867349745e-11       2.273421715320e-14 
   11       1.096927563628e-10       1.368124354180e-15       1.979182635575e-13       5.449417116323e-18       9.311638419240e-10       6.668809587275e-11       1.012708976145e-13 
   12       1.101485503443e-10       1.304725208036e-15       1.684273945698e-13       6.449209734113e-18       8.132015154144e-10       5.916513963765e-11       1.334714279470e-13 
   13       1.109313967649e-10       1.249579969440e-15       1.519997067526e-13       7.534820618867e-18       7.164329166116e-10       5.270251159704e-11       1.299628610478e-13 
   14       1.119061581581e-10       1.128071795215e-15       1.463284165768e-13       8.706588085350e-18       6.359682376500e-10       4.739322686878e-11       1.037878399596e-13 
