# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.347319221726e-10       6.943476443670e-15       5.013075610906e-13       0.000000000000e+00       9.289437225356e-09       3.807510965164e-10      -2.473961701569e-12 
    3       1.295414577954e-10       1.197892340161e-14       6.190971390670e-13       0.000000000000e+00       5.728035040124e-09       2.776937343557e-10      -2.188453501076e-12 
    4       1.235387744295e-10       1.434394125632e-14       6.378806006860e-13       0.000000000000e+00       3.987507615171e-09       2.138814990059e-10      -1.767403097811e-12 
    5       1.185959936956e-10       1.366132011048e-14       5.983637163634e-13       0.000000000000e+00       2.975831829698e-09       1.710187928321e-10      -1.336394319746e-12 
    6       1.149177349736e-10       1.089783176184e-14       5.287972549055e-13       0.000000000000e+00       2.323476622469e-09       1.404818640961e-10      -9.384980371276e-13 
    7       1.123599572062e-10       7.483212752075e-15       4.487381168427e-13       0.000000000000e+00       1.872994152627e-09       1.177120203712e-10      -5.966205043766e-13 
    8       1.107126254359e-10       4.553235564507e-15       3.700778087887e-13       0.000000000000e+00       1.546121748391e-09       1.001536065124e-10      -3.217072018541e-13 
    9       1.097857039719e-10       2.631499139746e-15       2.998759034945e-13       0.000000000000e+00       1.300277684525e-09       8.631047447987e-11      -1.166641468418e-13 
   10       1.094744815218e-10       1.682050267877e-15       2.419812467736e-13       0.000000000000e+00       1.110421800194e-09       7.520811317203e-11       2.178659015150e-14 
   11       1.096093137651e-10       1.363324343156e-15       1.981386734337e-13       0.000000000000e+00       9.323301872072e-10       6.634854874807e-11       1.006491722774e-13 
   12       1.100651311095e-10       1.298460819412e-15       1.685610955870e-13       0.000000000000e+00       8.142095559895e-10       5.886289395094e-11       1.332039235012e-13 
   13       1.108418125538e-10       1.242995300097e-15       1.520520643299e-13       0.000000000000e+00       7.173104910350e-10       5.240419476137e-11       1.299708239329e-13 
   14       1.118194126540e-10       1.121053428433e-15       1.463209461668e-13       0.000000000000e+00       6.367399292637e-10       4.713827198936e-11       1.040525457282e-13 
   15       1.129874779688e-10       9.698719381736e-16       1.485422749738e-13       0.000000000000e+00       5.689705000934e-10       4.271333897548e-11       6.621407922078e-14 
   16       1.142728532942e-10       8.570733959358e-16       1.559427555877e-13       0.000000000000e+00       5.113822908944e-10       3.874494283210e-11       2.524059742198e-14 
   17       1.156817630625e-10       8.214626868130e-16       1.660679790371e-13       0.000000000000e+00       4.620036194788e-10       3.536503889996e-11      -1.167812642775e-14 
   18       1.172068426903e-10       8.554108424497e-16       1.767522551746e-13       0.000000000000e+00       4.191637309269e-10       3.245057365967e-11      -4.011282390625e-14 
   19       1.188350687019e-10       9.278458990896e-16       1.868733280063e-13       0.000000000000e+00       3.821813614270e-10       2.990064533799e-11      -5.829133518493e-14 
   20       1.205032721568e-10       9.983813591154e-16       1.955444570342e-13       0.000000000000e+00       3.496219174473e-10       2.759413538375e-11      -6.591520471892e-14 
   21       1.222319747368e-10       1.057484116390e-15       2.025594833352e-13       0.000000000000e+00       3.209702174491e-10       2.552359504094e-11      -6.428601944964e-14 
