# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.732361777477e-10       2.684028406944e-15       1.158293392784e-12       0.000000000000e+00       1.629186045662e-09       7.839941897392e-10       1.374330809434e-12 
    3       5.315796212236e-10       1.012280517993e-15       6.642390022595e-13       0.000000000000e+00       1.093182503684e-09       6.141223521405e-10       6.416386583017e-13 
    4       4.522673930134e-10       8.840193009789e-16       4.031395217367e-13       0.000000000000e+00       7.706012105983e-10       4.599175039812e-10       1.678343122630e-13 
    5       3.917320338638e-10       1.526276791151e-15       3.206969323850e-13       0.000000000000e+00       5.703538535423e-10       3.513068560373e-10      -2.679666676950e-14 
    6       3.506087607148e-10       2.736416329564e-15       3.050249942020e-13       0.000000000000e+00       4.377538219102e-10       2.751171188868e-10      -1.070626803085e-13 
    7       3.242072727797e-10       4.544450707268e-15       3.064784891470e-13       0.000000000000e+00       3.451375056254e-10       2.201461985197e-10      -1.388346856868e-13 
    8       3.080776569952e-10       7.030045092558e-15       2.978845356682e-13       0.000000000000e+00       2.778143332432e-10       1.793434917433e-10      -1.495632459706e-13 
    9       2.993833242956e-10       1.027786721597e-14       2.654828811211e-13       0.000000000000e+00       2.273522215028e-10       1.483287930853e-10      -1.514803353500e-13 
   10       2.965005829719e-10       1.435617966307e-14       2.009493734465e-13       0.000000000000e+00       1.885956375089e-10       1.242829135402e-10      -1.499022011096e-13 
   11       2.974068415065e-10       1.930928567382e-14       1.002048312333e-13       0.000000000000e+00       1.592051004057e-10       1.083883177435e-10      -1.430823554944e-13 
   12       3.014199133959e-10       2.515708694116e-14      -3.773157477004e-14       0.000000000000e+00       1.347369599768e-10       9.265454417564e-11      -1.423750664938e-13 
   13       3.082824296141e-10       3.189513210875e-14      -2.153235588160e-13       0.000000000000e+00       1.151002230365e-10       7.993322145577e-11      -1.445770612839e-13 
   14       3.171136281697e-10       3.949037697134e-14      -4.333779440587e-13       0.000000000000e+00       9.899070282278e-11       6.996349484945e-11      -1.312284987918e-13 
   15       3.275190779021e-10       4.788168387540e-14      -6.893190740126e-13       0.000000000000e+00       8.573933461035e-11       6.105199294851e-11      -1.396272426962e-13 
   16       3.394993823698e-10       5.698310685439e-14      -9.809609810761e-13       0.000000000000e+00       7.469289267058e-11       5.419833716089e-11      -1.264155987962e-13 
   17       3.528876989054e-10       6.668408571397e-14      -1.306631223088e-12       0.000000000000e+00       6.540857363135e-11       4.791898918377e-11      -1.322608819474e-13 
   18       3.673922270774e-10       7.685009001472e-14      -1.662929867909e-12       0.000000000000e+00       5.753160739979e-11       4.265340383751e-11      -1.328298268125e-13 
   19       3.829576528977e-10       8.732776045539e-14      -2.045212775898e-12       0.000000000000e+00       5.088498474003e-11       3.841566714380e-11      -1.241295463123e-13 
   20       3.994647249395e-10       9.794357024401e-14      -2.448053881584e-12       0.000000000000e+00       4.516366305193e-11       3.467576946197e-11      -1.184666681451e-13 
   21       4.168803819957e-10       1.085158741713e-13      -2.866124744915e-12       0.000000000000e+00       4.024497061617e-11       3.136103781864e-11      -1.158333711820e-13 
   22       4.351151450187e-10       1.188523041490e-13      -3.293735059598e-12       0.000000000000e+00       3.597982332301e-11       2.848986445040e-11      -1.121745964328e-13 
   23       4.540971753718e-10       1.287612390822e-13      -3.724400815688e-12       0.000000000000e+00       3.228586622216e-11       2.600796331399e-11      -1.075009469737e-13 
   24       4.737042308598e-10       1.380496893535e-13      -4.151107807668e-12       0.000000000000e+00       2.905300966861e-11       2.380707578229e-11      -1.030685739118e-13 
   25       4.938618411711e-10       1.465351166138e-13      -4.566758382853e-12       0.000000000000e+00       2.622605612950e-11       2.185709215573e-11      -9.902231006150e-14 
   26       5.144703599371e-10       1.540437403898e-13      -4.964114841388e-12       0.000000000000e+00       2.373661385875e-11       2.012837301934e-11      -9.500093299430e-14 
   27       5.354454130015e-10       1.604223818450e-13      -5.336073929646e-12       0.000000000000e+00       2.154136687557e-11       1.857911168231e-11      -9.022078836229e-14 
   28       5.566797679435e-10       1.655376975259e-13      -5.675594801605e-12       0.000000000000e+00       1.958868917326e-11       1.715658388064e-11      -8.394702087539e-14 
   29       5.780883948540e-10       1.692895761025e-13      -5.975826507377e-12       0.000000000000e+00       1.786068198076e-11       1.586230436466e-11      -7.691840924770e-14 
   30       5.995589677324e-10       1.716062456200e-13      -6.230094559191e-12       0.000000000000e+00       1.633080502249e-11       1.470605293157e-11      -7.055480316169e-14 
   31       6.209487833964e-10       1.724467737194e-13      -6.432002876447e-12       0.000000000000e+00       1.495765944938e-11       1.368560366743e-11      -6.616945719011e-14 
   32       6.421522117900e-10       1.718136428602e-13      -6.575740594813e-12       0.000000000000e+00       1.372818493572e-11       1.278415530819e-11      -6.332669213433e-14 
   33       6.630525486423e-10       1.697504809128e-13      -6.656010581858e-12       0.000000000000e+00       1.262781286892e-11       1.196949073062e-11      -6.084133917094e-14 
   34       6.835132183720e-10       1.663428922023e-13      -6.668067691545e-12       0.000000000000e+00       1.163413685977e-11       1.120452120198e-11      -5.752450471888e-14 
   35       7.034183446437e-10       1.617208036870e-13      -6.607871547106e-12       0.000000000000e+00       1.073844900149e-11       1.048667343849e-11      -5.339614043945e-14 
   36       7.226427415169e-10       1.560626863537e-13      -6.472114979975e-12       0.000000000000e+00       9.930225714542e-12       9.821261426478e-12      -4.889412620864e-14 
   37       7.410510945260e-10       1.495932651291e-13      -6.258256001068e-12       0.000000000000e+00       9.194910930086e-12       9.210136687304e-12      -4.445292352780e-14 
   38       7.585381179546e-10       1.425661878174e-13      -5.964505465049e-12       0.000000000000e+00       8.528281929426e-12       8.649417704701e-12      -4.012884792831e-14 
   39       7.749996601981e-10       1.352808636977e-13      -5.589963069124e-12       0.000000000000e+00       7.925986679107e-12       8.130414542890e-12      -3.585285134702e-14 
   40       7.903208847942e-10       1.280908523956e-13      -5.134716670576e-12       0.000000000000e+00       7.379220942514e-12       7.639763334251e-12      -3.152812918714e-14 
   41       8.043850364609e-10       1.213933574887e-13      -4.599797843181e-12       0.000000000000e+00       6.877300584273e-12       7.164078605014e-12      -2.707445839798e-14 
   42       8.171051721030e-10       1.155865395461e-13      -3.986850173371e-12       0.000000000000e+00       6.417280776481e-12       6.706618438605e-12      -2.258364981454e-14 
   43       8.284013583891e-10       1.111032462852e-13      -3.298479694804e-12       0.000000000000e+00       5.996841381196e-12       6.275423527406e-12      -1.821114462343e-14 
   44       8.381917956077e-10       1.084252279822e-13      -2.538431124305e-12       0.000000000000e+00       5.611445672816e-12       5.878740977371e-12      -1.413499207094e-14 
   45       8.463992149568e-10       1.080603391885e-13      -1.711378998672e-12       0.000000000000e+00       5.255680163892e-12       5.523067196214e-12      -1.051087080570e-14 
   46       8.529727506842e-10       1.104612826739e-13      -8.220681481832e-13       0.000000000000e+00       4.928151946435e-12       5.206635403387e-12      -7.318590620743e-15 
   47       8.578723184056e-10       1.160859899830e-13       1.239693458511e-13       0.000000000000e+00       4.627766573012e-12       4.923940309498e-12      -4.471524991526e-15 
   48       8.610628191282e-10       1.254208844232e-13       1.120110330040e-12       0.000000000000e+00       4.352264770479e-12       4.667370373472e-12      -1.857139454211e-15 
   49       8.625143478699e-10       1.389814610939e-13       2.158589230167e-12       0.000000000000e+00       4.098139551442e-12       4.427072468325e-12       6.645881138267e-16 
   50       8.622065391959e-10       1.572788953474e-13       3.230899499285e-12       0.000000000000e+00       3.861549194616e-12       4.193489993940e-12       3.225421139249e-15 
   51       8.601425103994e-10       1.807078372090e-13       4.329245554513e-12       0.000000000000e+00       3.641540641033e-12       3.966103386892e-12       5.826521505866e-15 
   52       8.563390636518e-10       2.096291626373e-13       5.445396192611e-12       0.000000000000e+00       3.437557774375e-12       3.746828189705e-12       8.430314460646e-15 
   53       8.508232736049e-10       2.444002886672e-13       6.570236910822e-12       0.000000000000e+00       3.248486854242e-12       3.537539664204e-12       1.099473962636e-14 
   54       8.436328906884e-10       2.853741547783e-13       7.693739866210e-12       0.000000000000e+00       3.072620492030e-12       3.340063266552e-12       1.347307419991e-14 
   55       8.348158637251e-10       3.328638930393e-13       8.805544388730e-12       0.000000000000e+00       2.908101199876e-12       3.155797199460e-12       1.582247576324e-14 
   56       8.244278449769e-10       3.870288943631e-13       9.896936217387e-12       0.000000000000e+00       2.754463597879e-12       2.984492086597e-12       1.803250093408e-14 
   57       8.125347717074e-10       4.479586544489e-13       1.095930733026e-11       0.000000000000e+00       2.611412225183e-12       2.825151459400e-12       2.010336167826e-14 
   58       7.992140535175e-10       5.157023010488e-13       1.198358235242e-11       0.000000000000e+00       2.478358571265e-12       2.676349779016e-12       2.203798578799e-14 
   59       7.845549413317e-10       5.902662385349e-13       1.296021230311e-11       0.000000000000e+00       2.354403736476e-12       2.536208576692e-12       2.384217980536e-14 
   60       7.686588963837e-10       6.716117924650e-13       1.387916834285e-11       0.000000000000e+00       2.238321092588e-12       2.402372594169e-12       2.552479194583e-14 
   61       7.516351628464e-10       7.596309114984e-13       1.473069665786e-11       0.000000000000e+00       2.128857154669e-12       2.272609095268e-12       2.709492124184e-14 
   62       7.335854896867e-10       8.540722285589e-13       1.550779526146e-11       0.000000000000e+00       2.025752340905e-12       2.146816974631e-12       2.855244436467e-14 
   63       7.146166186328e-10       9.545941480177e-13       1.620428457160e-11       0.000000000000e+00       1.928919606822e-12       2.025428328038e-12       2.989564187971e-14 
   64       6.948449904249e-10       1.060782332636e-12       1.681411287424e-11       0.000000000000e+00       1.838139352594e-12       1.908821069399e-12       3.112403222416e-14 
   65       6.743969616172e-10       1.172146651909e-12       1.733137422077e-11       0.000000000000e+00       1.753052180186e-12       1.797314843894e-12       3.223844090938e-14 
   66       6.534090213788e-10       1.288118130407e-12       1.775032632546e-11       0.000000000000e+00       1.673151650503e-12       1.691166941112e-12       3.324106972309e-14 
   67       6.320280082950e-10       1.408045896119e-12       1.806540846298e-11       0.000000000000e+00       1.597777040540e-12       1.590568208197e-12       3.413556593178e-14 
   68       6.104013872338e-10       1.531221941963e-12       1.827184678215e-11       0.000000000000e+00       1.526271160090e-12       1.495623426217e-12       3.492586893062e-14 
   69       5.886453075346e-10       1.656968057908e-12       1.836757266816e-11       0.000000000000e+00       1.458507125113e-12       1.406296957273e-12       3.561232412974e-14 
   70       5.668704323013e-10       1.784561112393e-12       1.835172702880e-11       0.000000000000e+00       1.394455801571e-12       1.322448691659e-12       3.619490233906e-14 
   71       5.451912689286e-10       1.913204499339e-12       1.822413960171e-11       0.000000000000e+00       1.334027222797e-12       1.243844206349e-12       3.667438990407e-14 
   72       5.237261316854e-10       2.042025797827e-12       1.798536187524e-11       0.000000000000e+00       1.277067568123e-12       1.170150280780e-12       3.705242664074e-14 
   73       5.025971042972e-10       2.170074431773e-12       1.763670000940e-11       0.000000000000e+00       1.223356141490e-12       1.100930412634e-12       3.733154377057e-14 
   74       4.819300025294e-10       2.296319329606e-12       1.718024775672e-11       0.000000000000e+00       1.172602350080e-12       1.035640333620e-12       3.751520185548e-14 
   75       4.618543367702e-10       2.419646583944e-12       1.661891938313e-11       0.000000000000e+00       1.124442682926e-12       9.736235252533e-13       3.760782873282e-14 
   76       4.424932053363e-10       2.538947419880e-12       1.595646264594e-11       0.000000000000e+00       1.078522742105e-12       9.142643176000e-13       3.761407665249e-14 
   77       4.239309293773e-10       2.653405792821e-12       1.519742768732e-11       0.000000000000e+00       1.034767284862e-12       8.574893292951e-13       3.753635343994e-14 
   78       4.062394206404e-10       2.762259227263e-12       1.434725225263e-11       0.000000000000e+00       9.931541645144e-13       8.033497454409e-13       3.737690795733e-14 
   79       3.894874872137e-10       2.864712680210e-12       1.341231311614e-11       0.000000000000e+00       9.536323898306e-13       7.518706140660e-13       3.713859253140e-14 
   80       3.737405896305e-10       2.959938052695e-12       1.239995859302e-11       0.000000000000e+00       9.161208477180e-13       7.030495932735e-13       3.682488487753e-14 
