# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.626411972254e+03       1.626411972254e-11       1.626411972254e+17       2.675958164815e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       2.477328854993e-08       1.903443976270e+44       4.655004511898e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05       0.000000000000e+00       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       4.108966812453e-18       2.000000000000e+14 
       9.930486593843e+13       7.664693049753e-26       4.667299435823e-09       2.127654528182e+22       1.626411972254e+03       1.637796856059e-11       1.615106228653e+17       2.694689871968e-09       2.675846458098e+44       2.400623788821e+33       1.311669806183e+34       2.477328854993e-08       1.851067333040e+44       4.526913791294e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -3.992854731529e-40       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       5.732513067897e-06       1.433565615564e+02 
       9.861456399050e+13       7.772374322409e-26       4.700041245087e-09       2.098177236191e+22       1.626411972253e+03       1.649261434052e-11       1.603879075127e+17       2.713552701072e-09       2.602215788102e+44       2.350908324129e+33       1.284505918930e+34       2.477328854993e-08       1.800131926217e+44       4.402347714471e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -8.014829284357e-40       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       1.146502613579e-05       7.167828077820e+01 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.626411972253e+03       1.660806264090e-11       1.592729965369e+17       2.732547569979e-09       2.530611196824e+44       2.302222436600e+33       1.257904579330e+34       2.477328854993e-08       1.750598097619e+44       4.281209294592e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -1.206730586702e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       1.719753920368e-05       4.778552051880e+01 
       9.724832231036e+13       7.992296563846e-26       4.765979610966e-09       2.040442161294e+22       1.626411972253e+03       1.672431907939e-11       1.581658356871e+17       2.751675402969e-09       2.460976933110e+44       2.254544804314e+33       1.231854137361e+34       2.477328854993e-08       1.702427280332e+44       4.163404213587e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -1.615168530009e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       2.293005227157e-05       3.583914038910e+01 
       9.657231609767e+13       8.104580338272e-26       4.799403541256e-09       2.012173140839e+22       1.626411972253e+03       1.684138931294e-11       1.570663710895e+17       2.770937130790e-09       2.393258779894e+44       2.207854546917e+33       1.206343184268e+34       2.477328854993e-08       1.655581968676e+44       4.048840748713e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -2.026938755687e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       2.866256533946e-05       2.867131231128e+01 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.626411972253e+03       1.695927903813e-11       1.559745492448e+17       2.790333690705e-09       2.327404011992e+44       2.162131216471e+33       1.181360547562e+34       2.477328854993e-08       1.610025689010e+44       3.937429701143e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -2.442185231350e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       3.439507840735e-05       2.389276025940e+01 
       9.523436845525e+13       8.333902473306e-26       4.866933522862e-09       1.956804621446e+22       1.626411972253e+03       1.707799399140e-11       1.548903170256e+17       2.809866026540e-09       2.263361355047e+44       2.117354788506e+33       1.156895286131e+34       2.477328854993e-08       1.565722971329e+44       3.829084326512e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -2.861053950865e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       4.012759147524e-05       2.047950879377e+01 
       9.457236192179e+13       8.450985469153e-26       4.900812200503e-09       1.929694345585e+22       1.626411972253e+03       1.719753994934e-11       1.538136216739e+17       2.829535088726e-09       2.201080945604e+44       2.073505653244e+33       1.132936685446e+34       2.477328854993e-08       1.522639321645e+44       3.723720267383e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -3.283692991315e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       4.586010454313e-05       1.791957019455e+01 
       9.391495722125e+13       8.569713364009e-26       4.935145625495e-09       1.902959665248e+22       1.626411972253e+03       1.731792272898e-11       1.527444107983e+17       2.849341834347e-09       2.140514292293e+44       2.030564607016e+33       1.109474252871e+34       2.477328854993e-08       1.480741195137e+44       3.621255487561e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -3.710252570960e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       5.159261761102e-05       1.592850683960e+01 
       9.326212236469e+13       8.690109267060e-26       4.969706424163e-09       1.876595376800e+22       1.626411972253e+03       1.743914818809e-11       1.516826323717e+17       2.869287227187e-09       2.081614238068e+44       1.988512843847e+33       1.086497713064e+34       2.477328854993e-08       1.439995970030e+44       3.521610208226e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -4.140885108239e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       5.732513067890e-05       1.433565615564e+01 
       9.261382558559e+13       8.812196612153e-26       5.004494596506e-09       1.850596348697e+22       1.626411972253e+03       1.756122222540e-11       1.506282347286e+17       2.889372237778e-09       2.024334923495e+44       1.947331947224e+33       1.063997003481e+34       2.477328854993e-08       1.400371922191e+44       3.424706845811e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -4.575745281827e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       6.305764374679e-05       1.303241468694e+01 
       9.197003533823e+13       8.935999162357e-26       5.039510142524e-09       1.824957520492e+22       1.626411972253e+03       1.768415078098e-11       1.495811665626e+17       2.909597843442e-09       1.968631751041e+44       1.907003882029e+33       1.041962269965e+34       2.477328854993e-08       1.361838200436e+44       3.330469951600e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -5.014990091775e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       6.879015681468e-05       1.194638012970e+01 
       9.133072029615e+13       9.061541014589e-26       5.074753062217e-09       1.799673901845e+22       1.626411972253e+03       1.780793983645e-11       1.485413769242e+17       2.929965028346e-09       1.914461350357e+44       1.867510986638e+33       1.020383862434e+34       2.477328854993e-08       1.324364802505e+44       3.238826152983e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -5.458778921758e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       7.452266988256e-05       1.102742781203e+01 
       9.069584935070e+13       9.188846604302e-26       5.110450729262e-09       1.774740571556e+22       1.626411972253e+03       1.793259541530e-11       1.475088152176e+17       2.950474783544e-09       1.861781544502e+44       1.828835965191e+33       9.992523306542e+33       2.477328854993e-08       1.287922551705e+44       3.149704096326e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -5.907273602456e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       8.025518295045e-05       1.023975439688e+01 
       9.006539160943e+13       9.317940710246e-26       5.146148396307e-09       1.750152676602e+22       1.626411972253e+03       1.805812358321e-11       1.464834311992e+17       2.971128107029e-09       1.810551317112e+44       1.790961880015e+33       9.785584200989e+33       2.477328854993e-08       1.252483074190e+44       3.063034391418e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -6.360638476101e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       8.598769601833e-05       9.557104103757e+00 
       8.943931639467e+13       9.448848459284e-26       5.182073437027e-09       1.725905431200e+22       1.626411972253e+03       1.818453044829e-11       1.454651749744e+17       2.991926003778e-09       1.760730780460e+44       1.753872144203e+33       9.582930678975e+33       2.477328854993e-08       1.218018776871e+44       2.978749557444e+44       4.102070651713e-02      -4.102070651713e-02      -1.000000000000e+00       4.961091000000e-05      -6.819040462199e-39       1.230621195514e-01       1.230621195514e-01       1.230621195514e-01       9.172020908622e-05       8.959785097272e+00 
