# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       5.659008212675e-10       2.230793206141e-15       1.051111695075e-12       0.000000000000e+00       1.568136508243e-09       7.626048083561e-10       1.219536266689e-12 
    3       5.300687803742e-10       8.319506063933e-16       5.704695380155e-13       0.000000000000e+00       1.051687520836e-09       6.007403588230e-10       4.744478894928e-13 
    4       4.526778803226e-10       9.759481855661e-16       3.519174741482e-13       0.000000000000e+00       7.383689371277e-10       4.493243898620e-10       6.115884044907e-14 
    5       3.934560960497e-10       1.883452281432e-15       2.992072847921e-13       0.000000000000e+00       5.441270427907e-10       3.424444110777e-10      -9.064260681111e-14 
    6       3.535840678803e-10       3.425090259994e-15       2.982166599479e-13       0.000000000000e+00       4.158737683139e-10       2.674538066001e-10      -1.466941614336e-13 
    7       3.285497360377e-10       5.678785836798e-15       3.006514972122e-13       0.000000000000e+00       3.265630273840e-10       2.134305591070e-10      -1.658541940118e-13 
    8       3.138549003771e-10       8.751016763875e-15       2.811092724428e-13       0.000000000000e+00       2.618406877544e-10       1.734672594162e-10      -1.704691540675e-13 
    9       3.066838580319e-10       1.273591267101e-14       2.284559849075e-13       0.000000000000e+00       2.134768922798e-10       1.431946556478e-10      -1.694641657484e-13 
   10       3.053141172785e-10       1.770029529110e-14       1.359214379418e-13       0.000000000000e+00       1.764462522456e-10       1.197789101967e-10      -1.663142109168e-13 
   11       3.078040632263e-10       2.367836873691e-14       3.588916225864e-16       0.000000000000e+00       1.484894172442e-10       1.042903001542e-10      -1.622279438093e-13 
   12       3.134291822759e-10       3.067090791035e-14      -1.784930427045e-13       0.000000000000e+00       1.252350707351e-10       8.946745067739e-11      -1.518992685340e-13 
   13       3.219222427723e-10       3.864765206794e-14      -4.022342222762e-13       0.000000000000e+00       1.066295111784e-10       7.685752000316e-11      -1.593440293442e-13 
   14       3.324703730055e-10       4.754176468999e-14      -6.707191096247e-13       0.000000000000e+00       9.144236661210e-11       6.730433724139e-11      -1.427854569925e-13 
   15       3.446948142298e-10       5.724854267976e-14      -9.804303795601e-13       0.000000000000e+00       7.894530750883e-11       5.864575603700e-11      -1.514666540897e-13 
   16       3.585252653259e-10       6.763235869160e-14      -1.327759234277e-12       0.000000000000e+00       6.858864264338e-11       5.198451818756e-11      -1.399729895826e-13 
   17       3.738285045730e-10       7.853037069344e-14      -1.709255539502e-12       0.000000000000e+00       5.988941140233e-11       4.598894683233e-11      -1.420074139981e-13 
   18       3.903141149728e-10       8.975323249268e-14      -2.119691484638e-12       0.000000000000e+00       5.253271832893e-11       4.094059674935e-11      -1.405872649121e-13 
   19       4.079095266392e-10       1.010926037859e-13      -2.552633692463e-12       0.000000000000e+00       4.635299973838e-11       3.684692586562e-11      -1.322102414112e-13 
   20       4.264759703032e-10       1.123201700468e-13      -3.000808597281e-12       0.000000000000e+00       4.104469583548e-11       3.324446696457e-11      -1.261469051405e-13 
   21       4.459620745117e-10       1.232051684122e-13      -3.456936305393e-12       0.000000000000e+00       3.648980007165e-11       3.006287467624e-11      -1.223800741422e-13 
   22       4.662584859992e-10       1.335113870989e-13      -3.913342314182e-12       0.000000000000e+00       3.255111399384e-11       2.730433798401e-11      -1.178182724571e-13 
   23       4.872724384866e-10       1.430128973818e-13      -4.361689390761e-12       0.000000000000e+00       2.914971052567e-11       2.491712530789e-11      -1.124608357133e-13 
   24       5.088583236644e-10       1.514919851648e-13      -4.793209772308e-12       0.000000000000e+00       2.617967216621e-11       2.280231481971e-11      -1.072385902486e-13 
   25       5.309151932525e-10       1.587548939474e-13      -5.199184805969e-12       0.000000000000e+00       2.358841618080e-11       2.092973469198e-11      -1.022447717622e-13 
   26       5.533126179037e-10       1.646301640917e-13      -5.570901854098e-12       0.000000000000e+00       2.131184685641e-11       1.926778648705e-11      -9.719093499711e-14 
   27       5.759276808589e-10       1.689828568958e-13      -5.899961238130e-12       0.000000000000e+00       1.930883957842e-11       1.777596826795e-11      -9.152737340564e-14 
   28       5.986118957418e-10       1.717142382420e-13      -6.178249844540e-12       0.000000000000e+00       1.753058458301e-11       1.640395972860e-11      -8.473998034994e-14 
   29       6.212497850189e-10       1.727758172117e-13      -6.398174154978e-12       0.000000000000e+00       1.596005546587e-11       1.515217162722e-11      -7.733627097530e-14 
   30       6.437018364916e-10       1.721662906202e-13      -6.552634521843e-12       0.000000000000e+00       1.457252004662e-11       1.402832749038e-11      -7.028611354649e-14 
   31       6.657980117192e-10       1.699337261491e-13      -6.635120696458e-12       0.000000000000e+00       1.332959464655e-11       1.302966393848e-11      -6.451302302684e-14 
   32       6.874040817623e-10       1.661827129794e-13      -6.639978913503e-12       0.000000000000e+00       1.221892560065e-11       1.214528061367e-11      -5.990309988234e-14 
   33       7.083743406955e-10       1.610776787009e-13      -6.562416065842e-12       0.000000000000e+00       1.122677965908e-11       1.135249666910e-11      -5.590947262136e-14 
   34       7.285448216996e-10       1.548432119406e-13      -6.398561535734e-12       0.000000000000e+00       1.033226118901e-11       1.062239024688e-11      -5.192496552116e-14 
   35       7.477795454504e-10       1.477554004219e-13      -6.145562642143e-12       0.000000000000e+00       9.527188535091e-12       9.945544409626e-12      -4.774259061433e-14 
   36       7.659371733856e-10       1.401549116461e-13      -5.801697922602e-12       0.000000000000e+00       8.801793503232e-12       9.314122138526e-12      -4.324613220222e-14 
   37       7.828691470521e-10       1.324414176980e-13      -5.366378075033e-12       0.000000000000e+00       8.142651748423e-12       8.718098569352e-12      -3.834244068508e-14 
   38       7.984605533569e-10       1.250318907793e-13      -4.839881227318e-12       0.000000000000e+00       7.545824266788e-12       8.157350988502e-12      -3.315412906564e-14 
   39       8.126011928705e-10       1.183946474236e-13      -4.223697366279e-12       0.000000000000e+00       7.007294036422e-12       7.633030931754e-12      -2.789143532485e-14 
   40       8.251739080376e-10       1.130646610167e-13      -3.520722129198e-12       0.000000000000e+00       6.519017282047e-12       7.144059558135e-12      -2.280342303781e-14 
   41       8.360641877882e-10       1.096227862380e-13      -2.735111172053e-12       0.000000000000e+00       6.071255853783e-12       6.687954282235e-12      -1.811905979073e-14 
   42       8.451941066208e-10       1.086175070397e-13      -1.871554700592e-12       0.000000000000e+00       5.661295651817e-12       6.264135820942e-12      -1.384219109558e-14 
   43       8.524984781848e-10       1.106231702771e-13      -9.359289033408e-13       0.000000000000e+00       5.287000519333e-12       5.871345159838e-12      -9.893459252944e-15 
   44       8.579157656273e-10       1.162633648065e-13       6.440423674919e-14       0.000000000000e+00       4.944238723045e-12       5.506564677606e-12      -6.163622399941e-15 
   45       8.613937406658e-10       1.261749857745e-13       1.120989783483e-12       0.000000000000e+00       4.628092588596e-12       5.165975682927e-12      -2.544070847953e-15 
   46       8.629081588725e-10       1.408838931905e-13       2.225786606029e-12       0.000000000000e+00       4.337278257881e-12       4.848498379212e-12       9.659310140872e-16 
   47       8.624498981430e-10       1.608947676135e-13       3.369975240796e-12       0.000000000000e+00       4.070787681712e-12       4.553074896900e-12       4.337900238842e-15 
   48       8.600203617645e-10       1.867248329241e-13       4.543473031477e-12       0.000000000000e+00       3.826568868742e-12       4.277592029747e-12       7.544074196770e-15 
   49       8.556319320725e-10       2.189032756465e-13       5.734881494640e-12       0.000000000000e+00       3.601451735426e-12       4.018806012418e-12       1.055757817051e-14 
   50       8.493105062906e-10       2.579262339428e-13       6.932119455343e-12       0.000000000000e+00       3.391969523578e-12       3.773397619763e-12       1.336037276863e-14 
   51       8.411028630322e-10       3.041087082410e-13       8.124647169197e-12       0.000000000000e+00       3.197257934746e-12       3.541649612371e-12       1.596925052032e-14 
   52       8.310720795261e-10       3.576914496843e-13       9.301754931293e-12       0.000000000000e+00       3.016814760209e-12       3.324637465508e-12       1.841718545964e-14 
   53       8.192961627513e-10       4.188792690611e-13       1.045191019133e-11       0.000000000000e+00       2.849641845894e-12       3.123164782817e-12       2.074669108976e-14 
   54       8.058686010795e-10       4.878383652875e-13       1.156273719073e-11       0.000000000000e+00       2.694213086700e-12       2.937741265525e-12       2.301035408653e-14 
   55       7.908947442465e-10       5.646603899405e-13       1.262181959144e-11       0.000000000000e+00       2.548869118803e-12       2.768366057076e-12       2.525399264914e-14 
   56       7.744786264068e-10       6.492503070998e-13       1.361938850383e-11       0.000000000000e+00       2.413189538245e-12       2.613865220565e-12       2.746000949707e-14 
   57       7.567338358871e-10       7.414059961127e-13       1.454626655544e-11       0.000000000000e+00       2.286905510442e-12       2.472351087818e-12       2.959090136513e-14 
   58       7.377877806985e-10       8.408451936349e-13       1.539311485175e-11       0.000000000000e+00       2.169487892472e-12       2.341373495022e-12       3.160526128411e-14 
   59       7.177820776462e-10       9.472015261161e-13       1.615044467794e-11       0.000000000000e+00       2.060131851988e-12       2.217890169160e-12       3.345763532253e-14 
   60       6.968729414382e-10       1.060020542286e-12       1.680862920060e-11       0.000000000000e+00       1.957741486142e-12       2.098237114446e-12       3.509837932834e-14 
   61       6.752226833078e-10       1.178757173533e-12       1.735876798808e-11       0.000000000000e+00       1.861198134896e-12       1.979065796089e-12       3.648567809305e-14 
   62       6.529710967285e-10       1.302776424595e-12       1.779548085837e-11       0.000000000000e+00       1.770270494767e-12       1.860467504923e-12       3.762507950410e-14 
