# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       2.063515750757e-07       5.070542671417e-16       3.135897679934e-12       0.000000000000e+00       7.763314549692e-10       1.164792969118e-08       4.021986920238e-13 
    3       1.813861007699e-07       1.296010864179e-15       5.391067512584e-12       0.000000000000e+00       2.501922507195e-10       6.075483029508e-09       3.984916095274e-13 
    4       1.630042873717e-07       2.749594652308e-15       7.924310954755e-12       0.000000000000e+00       1.065980167208e-10       3.711762917530e-09       3.924788421546e-13 
    5       1.486261005356e-07       4.966894403564e-15       1.047785139542e-11       0.000000000000e+00       5.336140375664e-11       2.487100655183e-09       3.784420928582e-13 
    6       1.368972978921e-07       7.883569334707e-15       1.276388730898e-11       0.000000000000e+00       2.965082512068e-11       1.769113496690e-09       3.563015989155e-13 
    7       1.270657777052e-07       1.127007759421e-14       1.464396714198e-11       0.000000000000e+00       1.775266119275e-11       1.313170321188e-09       3.288374078223e-13 
    8       1.186709805505e-07       1.475611746621e-14       1.603359352962e-11       0.000000000000e+00       1.124566610908e-11       1.006444062811e-09       2.982812492202e-13 
    9       1.113424222738e-07       1.790874897811e-14       1.690354908400e-11       0.000000000000e+00       7.446093150184e-12       7.908448422503e-10       2.663181557067e-13 
   10       1.048680547902e-07       2.032499260575e-14       1.728177957452e-11       0.000000000000e+00       5.109469063944e-12       6.341168859754e-10       2.342860154033e-13 
   11       9.914759770642e-08       2.170085635356e-14       1.722809614372e-11       0.000000000000e+00       5.092784793386e-12       5.601890714920e-10       1.928036629315e-13 
   12       9.405725229278e-08       2.187696498732e-14       1.680635906268e-11       0.000000000000e+00       3.730621593865e-12       4.574462987499e-10       1.647664656317e-13 
   13       8.944948464577e-08       2.086422066458e-14       1.607777471472e-11       0.000000000000e+00       2.794212516219e-12       3.779814015542e-10       1.388977288779e-13 
   14       8.521611144834e-08       1.883797882946e-14       1.510739707180e-11       0.000000000000e+00       2.135247091740e-12       3.147654465710e-10       1.152533573308e-13 
   15       8.130033302892e-08       1.609754356954e-14       1.396494015520e-11       0.000000000000e+00       1.655420793262e-12       2.626946258801e-10       9.382783177862e-14 
   16       7.767266812137e-08       1.300378150562e-14       1.271874813444e-11       0.000000000000e+00       1.288408643658e-12       2.180931479552e-10       7.464008788918e-14 
   17       7.430877417655e-08       9.912570222297e-15       1.142959351497e-11       0.000000000000e+00       1.005047965387e-12       1.877331982142e-10       5.866976389365e-14 
   18       7.117309898937e-08       7.124429219512e-15       1.014647144827e-11       0.000000000000e+00       8.082248423048e-13       1.638354935863e-10       4.519187263353e-14 
   19       6.827082057460e-08       4.817915136606e-15       8.909491701427e-12       0.000000000000e+00       6.689390947698e-13       1.427319820477e-10       3.387777769377e-14 
   20       6.554607518083e-08       3.094314560354e-15       7.744817475335e-12       0.000000000000e+00       5.437794184441e-13       1.233896291272e-10       2.443294426237e-14 
   21       6.299566488811e-08       1.939600415025e-15       6.674241958544e-12       0.000000000000e+00       4.370415964678e-13       1.065379371738e-10       1.684561816598e-14 
   22       6.059299217172e-08       1.253768312165e-15       5.707983306426e-12       0.000000000000e+00       3.645629109515e-13       9.316082481374e-11       1.103478991253e-14 
   23       5.833440418445e-08       9.208307560855e-16       4.853576100405e-12       0.000000000000e+00       3.147096311058e-13       8.282060140194e-11       6.777219356080e-15 
   24       5.619705554072e-08       7.917048490701e-16       4.109344804877e-12       0.000000000000e+00       2.668733505419e-13       7.433250144452e-11       3.703967012708e-15 
   25       5.417787749671e-08       7.658424857731e-16       3.474219607232e-12       0.000000000000e+00       2.214076125584e-13       6.673339625150e-11       1.597122046863e-15 
   26       5.226139086244e-08       7.517904704738e-16       2.940644713432e-12       0.000000000000e+00       1.845057389738e-13       5.919562264806e-11       2.330457043840e-16 
   27       5.044174695490e-08       7.173200331252e-16       2.501452073011e-12       0.000000000000e+00       1.560485034487e-13       5.223728386493e-11      -5.263919903516e-16 
   28       4.870484564125e-08       6.509231773100e-16       2.145360305032e-12       0.000000000000e+00       1.336445643324e-13       4.667708706569e-11      -8.231893408621e-16 
