# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.474002684857e-10       7.254551508606e-15       4.981664118683e-13       2.400818660256e-19       8.846152450922e-09       4.706738616613e-10      -2.486063841732e-12 
    3       1.395986972928e-10       1.231835212590e-14       6.165232572846e-13       4.803967049758e-19       5.458232855830e-09       3.399246588334e-10      -2.194196815199e-12 
    4       1.315119175070e-10       1.442979718355e-14       6.336735897140e-13       8.011707075450e-19       3.794763085306e-09       2.599550798469e-10      -1.755205050935e-12 
    5       1.250297244999e-10       1.339566321351e-14       5.918177266178e-13       1.202692039004e-18       2.830813073544e-09       2.066833926517e-10      -1.306521375713e-12 
    6       1.202303497144e-10       1.038193781227e-14       5.201564932432e-13       1.685302318852e-18       2.210886650144e-09       1.689782427276e-10      -8.959785197826e-13 
    7       1.168698050389e-10       6.913491886169e-15       4.386156621274e-13       2.249385323881e-18       1.783875547047e-09       1.410290811508e-10      -5.479764985632e-13 
    8       1.145868879345e-10       4.101383271213e-15       3.593588397693e-13       2.895354468149e-18       1.474598805357e-09       1.195923952653e-10      -2.734895928242e-13 
    9       1.132068578965e-10       2.371098611921e-15       2.895148811170e-13       3.623639554027e-18       1.242146685543e-09       1.027759135406e-10      -7.444731818887e-14 
   10       1.125361399348e-10       1.585872613830e-15       2.329500393523e-13       4.434673315694e-18       1.062173606020e-09       8.933741023626e-11       5.411242503093e-14 
   11       1.123676276220e-10       1.351032938671e-15       1.913346133147e-13       5.328878282605e-18       8.941929602405e-10       7.856382946562e-11       1.212648301076e-13 
   12       1.126425014860e-10       1.294722994252e-15       1.644401309967e-13       6.306654475109e-18       7.813644758599e-10       6.947184611435e-11       1.418231450811e-13 
   13       1.132282294468e-10       1.212663280603e-15       1.506020955815e-13       7.368368408375e-18       6.887437341794e-10       6.186169654264e-11       1.284767810136e-13 
   14       1.140558476617e-10       1.070711710915e-15       1.472194159118e-13       8.514343825338e-18       6.116728934018e-10       5.546772891670e-11       9.464765739973e-14 
   15       1.151071461747e-10       9.263835242389e-16       1.512296569437e-13       9.744854506984e-18       5.468011090927e-10       5.009967554485e-11       5.207797806441e-14 
