# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.473997778463e-10       7.254311426705e-15       4.981664170790e-13       0.000000000000e+00       8.846152450922e-09       4.706738616613e-10      -2.486063841732e-12 
    3       1.395977182347e-10       1.231787172885e-14       6.165232804617e-13       0.000000000000e+00       5.458232855830e-09       3.399246588334e-10      -2.194196815199e-12 
    4       1.315102906225e-10       1.442899601117e-14       6.336736561398e-13       0.000000000000e+00       3.794763085306e-09       2.599550798469e-10      -1.755205050935e-12 
    5       1.250272931882e-10       1.339446051578e-14       5.918178774603e-13       0.000000000000e+00       2.830813073544e-09       2.066833926517e-10      -1.306521375713e-12 
    6       1.202269607545e-10       1.038025249449e-14       5.201567887234e-13       0.000000000000e+00       2.210886650144e-09       1.689782427276e-10      -8.959785197826e-13 
    7       1.168653090841e-10       6.911242465072e-15       4.386161842081e-13       0.000000000000e+00       1.783875547047e-09       1.410290811508e-10      -5.479764985632e-13 
    8       1.145811399173e-10       4.098487843253e-15       3.593596943127e-13       0.000000000000e+00       1.474598805357e-09       1.195923952653e-10      -2.734895928242e-13 
    9       1.131997173384e-10       2.367474834829e-15       2.895161994858e-13       0.000000000000e+00       1.242146685543e-09       1.027759135406e-10      -7.444731818887e-14 
   10       1.125274711565e-10       1.581437701871e-15       2.329519794478e-13       0.000000000000e+00       1.062173606020e-09       8.933741023626e-11       5.411242503093e-14 
   11       1.123572998542e-10       1.345703671716e-15       1.913373600728e-13       0.000000000000e+00       8.941929602405e-10       7.856382946562e-11       1.212648301076e-13 
   12       1.126303888837e-10       1.288415740270e-15       1.644438963800e-13       0.000000000000e+00       7.813644758599e-10       6.947184611435e-11       1.418231450811e-13 
   13       1.132142110123e-10       1.205294030790e-15       1.506071181276e-13       0.000000000000e+00       6.887437341794e-10       6.186169654264e-11       1.284767810136e-13 
   14       1.140398070858e-10       1.062196126241e-15       1.472259599114e-13       0.000000000000e+00       6.116728934018e-10       5.546772891670e-11       9.464765739973e-14 
   15       1.150889716069e-10       9.166369918516e-16       1.512380113353e-13       0.000000000000e+00       5.468011090927e-10       5.009967554485e-11       5.207797806441e-14 
   16       1.162813161593e-10       8.313828880448e-16       1.597558195235e-13       0.000000000000e+00       4.916446121866e-10       4.551696863444e-11       9.876533936181e-15 
   17       1.176413447748e-10       8.266746798766e-16       1.703005878988e-13       0.000000000000e+00       4.443270051613e-10       4.148291661214e-11      -2.572556407144e-14 
   18       1.191046641816e-10       8.774095639554e-16       1.808166438778e-13       0.000000000000e+00       4.032541126390e-10       3.796220152175e-11      -5.083816069916e-14 
   19       1.206693337885e-10       9.507762393170e-16       1.903644139491e-13       0.000000000000e+00       3.677772249800e-10       3.489797752267e-11      -6.440083823037e-14 
   20       1.223088832816e-10       1.012018423997e-15       1.983090373630e-13       0.000000000000e+00       3.365297689217e-10       3.213326158226e-11      -6.715091248384e-14 
