# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       2.121347118485e+05       1.670703959587e-08       2.176176366964e+00       9.786912498647e+04       1.266786117033e+04       5.971583501874e-02       2.687305746966e+09       1.255429516007e+00       5.572296469923e+09       2.340204844958e+07       1.278657676271e+08       2.985121549152e-08       3.854741341482e+09       9.578365625617e+09       5.999813534431e+04      -5.999809012493e+04      -9.999992463202e-01       5.999905635989e-02      -1.736237544779e-06       1.799943382038e+05       1.799943382038e+05       1.799943382038e+05       6.668086624149e-04       7.100177011544e-02 
       2.106600437229e+05       1.694113646978e-08       2.191349180486e+00       9.651851699402e+04       1.266784599751e+04       6.013378541018e-02       2.668621659557e+09       1.264175732322e+00       5.418960660246e+09       2.291739297056e+07       1.252176727395e+08       2.985121549152e-08       3.748668398687e+09       9.315824122726e+09       5.999808274097e+04      -5.999803624640e+04      -9.999992250657e-01       5.999902973900e-02      -1.772872585052e-06       1.799941784811e+05       1.799941784811e+05       1.799941784811e+05       6.671393052730e-04       7.112842465346e-02 
       2.091956265208e+05       1.717850912049e-08       2.206627360798e+00       9.518658381211e+04       1.266783071933e+04       6.055466060815e-02       2.650067451821e+09       1.272982589143e+00       5.269844244528e+09       2.244277459726e+07       1.226244193000e+08       2.985121549152e-08       3.645514301366e+09       9.060485737820e+09       5.999802865470e+04      -5.999798084901e+04      -9.999992032123e-01       5.999900236763e-02      -1.810280036443e-06       1.799940142556e+05       1.799940142556e+05       1.799940142556e+05       6.674707041514e-04       7.125606092904e-02 
       2.077413889845e+05       1.741920329518e-08       2.222011633738e+00       9.387306697290e+04       1.266781533506e+04       6.097848107448e-02       2.631642220921e+09       1.281850502842e+00       5.124831116846e+09       2.197798546474e+07       1.200848715616e+08       2.985121549152e-08       3.545198731053e+09       8.812152702898e+09       5.999797304375e+04      -5.999792388999e+04      -9.999991807431e-01       5.999897422467e-02      -1.848476167061e-06       1.799938454006e+05       1.799938454006e+05       1.799938454006e+05       6.678028646024e-04       7.138468513438e-02 
       2.062972603519e+05       1.766326537796e-08       2.237502730064e+00       9.257771158768e+04       1.266779984396e+04       6.140526741406e-02       2.613345070296e+09       1.290779892595e+00       4.983808366173e+09       2.152282201285e+07       1.175979172979e+08       2.985121549152e-08       3.447643579412e+09       8.570632682811e+09       5.999791586515e+04      -5.999786532536e+04      -9.999991576408e-01       5.999894528836e-02      -1.887477587125e-06       1.799936717858e+05       1.799936717858e+05       1.799936717858e+05       6.681357922184e-04       7.151430349695e-02 
       2.048631703524e+05       1.791074239872e-08       2.253101385482e+00       9.130026629732e+04       1.266778424531e+04       6.183504037586e-02       2.595175109619e+09       1.299771180394e+00       4.846666188467e+09       2.107708489706e+07       1.151624673161e+08       2.985121549152e-08       3.352772887424e+09       8.335738625962e+09       5.999785707478e+04      -5.999780510990e+04      -9.999991338876e-01       5.999891553637e-02      -1.927301256150e-06       1.799934932770e+05       1.799934932770e+05       1.799934932770e+05       6.684694926332e-04       7.164492227968e-02 
       2.034390492041e+05       1.816168204207e-08       2.268808340683e+00       9.004048322337e+04       1.266776853835e+04       6.226782085391e-02       2.577131454749e+09       1.308824791073e+00       4.713297801177e+09       2.064057890122e+07       1.127774549805e+08       2.985121549152e-08       3.260512786242e+09       8.107288619097e+09       5.999779662724e+04      -5.999774319712e+04      -9.999991094653e-01       5.999888494573e-02      -1.967964490267e-06       1.799933097365e+05       1.799933097365e+05       1.799933097365e+05       6.688039715214e-04       7.177654778109e-02 
       2.020248276101e+05       1.841613265644e-08       2.284624341368e+00       8.879811791982e+04       1.266775272235e+04       6.270362988835e-02       2.559213227694e+09       1.317941152322e+00       4.583599360097e+09       2.021311285199e+07       1.104418357445e+08       2.985121549152e-08       3.170791439674e+09       7.885105746101e+09       5.999773447587e+04      -5.999767953923e+04      -9.999990843548e-01       5.999885349282e-02      -2.009484969714e-06       1.799931210226e+05       1.799931210226e+05       1.799931210226e+05       6.691392345994e-04       7.190918633541e-02 
       2.006204367553e+05       1.867414326320e-08       2.300550138292e+00       8.757292932560e+04       1.266773679656e+04       6.314248866640e-02       2.541419556563e+09       1.327120694703e+00       4.457469878513e+09       1.979449953516e+07       1.081545866940e+08       2.985121549152e-08       3.083538988253e+09       7.669017950666e+09       5.999767057268e+04      -5.999761408709e+04      -9.999990585370e-01       5.999882115336e-02      -2.051880746468e-06       1.799929269897e+05       1.799929269897e+05       1.799929269897e+05       6.694752876250e-04       7.204284431274e-02 
       1.992258083027e+05       1.893576356609e-08       2.316586487288e+00       8.636467971767e+04       1.266772076021e+04       6.358441852342e-02       2.523749575526e+09       1.336363851674e+00       4.334811148574e+09       1.938455561364e+07       1.059147060989e+08       2.985121549152e-08       2.998687494845e+09       7.458857902736e+09       5.999760486835e+04      -5.999754679018e+04      -9.999990319918e-01       5.999878790239e-02      -2.095170252047e-06       1.799927274878e+05       1.799927274878e+05       1.799927274878e+05       6.698121363986e-04       7.217752811913e-02 
